Zákazník,Datum,Produkt (produkty)
customer-7625,2023-11-13 13:37:35,"1× book-008, 1× book-008, 1× book-008"
customer-21384,2023-11-13 12:36:03,2× book-021
customer-21386,2023-11-13 12:15:50,"1× book-087, 1× book-045"
customer-21387,2023-11-13 11:53:09,1× book-021
customer-21389,2023-11-13 09:48:04,1× book-042
customer-21391,2023-11-13 09:41:41,1× book-104
customer-21393,2023-11-13 09:17:43,1× book-065
customer-21395,2023-11-13 08:17:55,"1× book-101, 1× book-128"
customer-21396,2023-11-13 07:11:50,"1× book-051, 1× book-042, 1× book-029"
customer-21398,2023-11-13 00:20:26,1× book-042
customer-21400,2023-11-12 22:33:17,"1× book-042, 1× book-032"
customer-21402,2023-11-12 22:09:21,"1× book-000, 1× book-000, 1× book-000, 1× book-000"
customer-271,2023-11-12 21:02:28,1× book-042
customer-21403,2023-11-12 20:27:31,"1× book-003, 1× book-028, 1× book-000"
customer-21405,2023-11-12 20:15:31,1× book-042
customer-19366,2023-11-12 20:05:01,"1× book-061, 1× book-061, 1× book-061"
customer-15013,2023-11-12 19:50:21,"1× book-051, 1× book-051, 1× book-051, 1× book-042, 1× book-008, 1× book-008, 1× book-008"
customer-21407,2023-11-12 19:03:12,"1× book-042, 1× book-023, 1× book-015"
customer-21408,2023-11-12 18:54:53,1× book-017
customer-21409,2023-11-12 17:43:13,2× book-042
customer-21410,2023-11-12 17:09:20,1× book-048
customer-21412,2023-11-12 16:49:09,1× book-021
customer-8269,2023-11-12 16:08:33,"1× book-045, 1× book-045, 1× book-045, 1× book-028, 1× book-028, 1× book-028, 1× book-012, 1× book-012, 1× book-012"
customer-21413,2023-11-12 15:37:48,4× book-042
customer-21414,2023-11-12 14:10:20,"1× book-118, 1× book-042, 1× book-119, 1× book-074, 1× book-023"
customer-21415,2023-11-12 13:10:27,1× book-072
customer-20249,2023-11-12 11:46:48,1× book-042
customer-21418,2023-11-12 09:48:52,1× book-042
customer-21419,2023-11-12 09:27:00,1× book-032
customer-21421,2023-11-12 09:00:27,1× book-021
customer-13315,2023-11-12 08:26:17,1× book-042
customer-21423,2023-11-12 07:46:19,"1× book-029, 1× book-029, 1× book-029"
customer-21424,2023-11-12 01:13:41,1× book-021
customer-21425,2023-11-11 22:19:50,1× book-042
customer-16416,2023-11-11 21:59:07,"1× book-042, 1× book-042, 1× book-042"
customer-21428,2023-11-11 20:51:32,1× book-021
customer-21429,2023-11-11 19:51:26,"1× book-048, 1× book-038, 1× book-023"
customer-21430,2023-11-11 19:16:12,1× book-042
customer-17121,2023-11-11 18:50:13,1× book-042
customer-21431,2023-11-11 18:18:36,1× book-042
customer-21433,2023-11-11 17:28:33,"1× book-042, 1× book-035"
customer-11034,2023-11-11 15:38:40,"1× book-032, 1× book-001, 1× book-000"
customer-824,2023-11-11 15:14:56,"1× book-042, 1× book-118, 1× book-118, 1× book-118, 1× book-032, 1× book-012"
customer-11184,2023-11-11 14:53:16,"1× book-042, 1× book-042, 1× book-042"
customer-11232,2023-11-11 13:47:29,1× book-074
customer-21436,2023-11-11 13:19:33,1× book-039
customer-21438,2023-11-11 12:56:19,1× book-042
customer-1174,2023-11-11 12:21:54,"1× book-042, 1× book-042, 1× book-042, 1× book-032, 1× book-074"
customer-21440,2023-11-11 11:25:26,1× book-042
customer-13716,2023-11-11 10:42:00,1× book-042
customer-21443,2023-11-11 10:30:25,"1× book-042, 1× book-061, 1× book-042"
customer-21444,2023-11-11 09:35:14,"1× book-029, 1× book-029, 1× book-029"
customer-21445,2023-11-11 08:36:24,1× book-039
customer-21446,2023-11-11 06:49:04,1× book-032
