Zákazník,Datum,Produkt (produkty)
customer-774,2023-10-10 13:45:45,"2× book-014, 2× book-003, 2× book-063, 2× book-059, 2× book-015, 2× book-051, 2× book-023, 2× book-075, 2× book-090, 2× book-017, 2× book-012, 2× book-000, 2× book-098, 2× book-048, 2× book-107, 2× book-077, 2× book-070, 2× book-144, 2× book-078, 2× book-125"
customer-9806,2023-10-10 12:59:17,1× book-047
customer-22075,2023-10-10 12:18:44,"1× book-017, 1× book-017, 1× book-017"
customer-22076,2023-10-10 12:04:23,1× book-045
customer-7452,2023-10-10 11:54:36,"1× book-047, 1× book-047, 1× book-047"
customer-22078,2023-10-10 11:33:24,1× book-032
customer-263,2023-10-10 10:58:15,1× book-047
customer-22080,2023-10-10 10:53:32,"1× book-105, 1× book-105, 1× book-105, 1× book-034, 1× book-034, 1× book-034, 1× book-076, 1× book-076, 1× book-076"
customer-22081,2023-10-10 10:14:29,1× book-094
customer-118,2023-10-10 09:41:39,"1× book-065, 1× book-065, 1× book-065"
customer-94,2023-10-10 08:34:46,1× book-047
customer-22083,2023-10-10 08:01:54,"1× book-011, 1× book-051, 1× book-017"
customer-22084,2023-10-10 06:16:55,1× book-032
customer-22086,2023-10-09 20:18:28,"1× merch-011, 1× merch-012, 1× book-032, 1× book-001, 1× book-000"
customer-22087,2023-10-09 19:03:39,1× book-028
customer-22088,2023-10-09 18:28:24,2× book-003
customer-22089,2023-10-09 18:05:34,1× book-032
customer-22091,2023-10-09 16:39:15,"1× book-017, 1× book-017, 1× book-017"
customer-22052,2023-10-09 16:33:01,"1× book-076, 1× book-063, 1× book-148, 1× book-045, 1× book-023, 1× book-073"
customer-22092,2023-10-09 14:22:47,1× book-032
customer-22094,2023-10-09 12:07:19,1× book-064
customer-22096,2023-10-09 11:12:28,"1× book-048, 1× book-048, 1× book-048, 1× book-070, 1× book-070, 1× book-070"
customer-22098,2023-10-09 10:28:54,1× book-032
customer-22100,2023-10-09 08:38:03,"1× book-028, 1× book-028, 1× book-028"
customer-20730,2023-10-09 05:43:38,1× book-012
customer-22102,2023-10-08 23:03:36,"1× book-074, 1× book-012, 1× book-042"
customer-22104,2023-10-08 21:27:26,"1× book-023, 1× book-023, 1× book-023, 1× book-042, 1× book-042, 1× book-042"
customer-22105,2023-10-08 21:15:16,1× book-110
customer-22107,2023-10-08 20:54:01,"1× book-012, 1× book-140, 1× book-056, 1× book-056, 1× book-056, 1× book-119, 1× book-119, 1× book-119, 1× book-023"
customer-22109,2023-10-08 20:24:08,"1× book-000, 1× book-000, 1× book-000"
customer-13801,2023-10-08 20:03:38,1× book-001
customer-1959,2023-10-08 19:58:04,"1× book-048, 1× book-048, 1× book-048"
customer-22111,2023-10-08 19:41:03,"1× book-003, 1× book-078, 1× book-110, 1× book-076, 1× book-056, 1× book-098, 1× book-008, 1× book-112, 1× book-064"
customer-22113,2023-10-08 18:05:19,1× book-062
customer-22115,2023-10-08 17:10:07,1× book-000
customer-22117,2023-10-08 14:10:24,"1× book-082, 1× book-082, 1× book-082"
customer-21545,2023-10-08 13:55:13,1× book-070
customer-22119,2023-10-08 12:55:31,1× book-051
customer-22121,2023-10-08 11:09:40,1× merch-013
customer-22122,2023-10-08 09:58:24,"1× book-074, 1× book-062, 1× book-062, 1× book-062"
customer-22124,2023-10-08 08:38:28,"1× book-042, 1× book-038, 1× book-112, 1× book-082, 1× book-138, 1× book-150"
customer-22126,2023-10-07 23:08:36,"1× book-078, 1× book-051, 1× book-014"
customer-22128,2023-10-07 20:55:45,1× book-048
customer-22130,2023-10-07 20:00:32,"1× book-032, 1× book-001"
customer-5126,2023-10-07 16:32:00,1× book-047
customer-2081,2023-10-07 15:23:58,"1× book-062, 1× book-062, 1× book-062"
customer-18024,2023-10-07 12:00:43,1× book-028
customer-22133,2023-10-07 10:49:21,"1× book-032, 1× book-032, 1× book-032"
customer-22135,2023-10-07 08:33:41,1× book-014
customer-22137,2023-10-07 06:15:07,"1× book-032, 1× book-001"
customer-2472,2023-10-06 22:53:07,"1× book-051, 1× book-051, 1× book-051, 1× book-042, 1× book-042, 1× book-042, 1× book-023, 1× book-023, 1× book-023"
customer-11999,2023-10-06 22:01:38,"1× book-014, 1× book-014, 1× book-014"
customer-22141,2023-10-06 21:04:23,1× book-032
customer-22143,2023-10-06 19:49:44,1× book-038
customer-21694,2023-10-06 18:38:37,"1× book-047, 1× book-023, 1× book-014"
customer-22146,2023-10-06 15:36:11,"1× book-012, 1× book-012, 1× book-012"
customer-22147,2023-10-06 13:50:35,1× book-042
customer-22149,2023-10-06 12:19:07,"1× book-029, 1× book-029, 1× book-029"
customer-22151,2023-10-06 11:21:16,"1× book-032, 1× book-001"
customer-22152,2023-10-06 10:45:25,"1× book-017, 1× book-017, 1× book-017"
customer-22154,2023-10-06 10:22:18,"1× book-015, 1× book-015, 1× book-015"
customer-4890,2023-10-06 10:00:34,1× book-004
customer-22156,2023-10-06 09:05:55,1× book-032
customer-22158,2023-10-06 07:35:47,"1× book-014, 1× book-003"
customer-4457,2023-10-05 22:21:11,1× book-078
customer-4012,2023-10-05 21:43:10,"1× book-062, 1× book-008, 1× book-125"
customer-22161,2023-10-05 20:02:51,1× book-032
customer-13523,2023-10-05 16:39:25,1× book-053
customer-22163,2023-10-05 16:33:55,"1× book-104, 1× book-104, 1× book-104"
customer-1239,2023-10-05 13:28:09,7× merch-012
customer-22166,2023-10-05 12:50:44,"1× merch-013, 1× book-048, 1× book-048, 1× book-048"
customer-22168,2023-10-05 11:36:09,"1× book-032, 1× book-051"
customer-22170,2023-10-05 09:19:43,"1× book-017, 1× book-017, 1× book-017"
customer-22172,2023-10-05 08:41:21,1× book-032
customer-22173,2023-10-05 07:11:11,"1× book-003, 1× book-003, 1× book-003, 1× book-012, 1× book-012, 1× book-012, 1× book-048, 1× book-048, 1× book-048, 1× book-051, 1× book-051, 1× book-051"
customer-1892,2023-10-04 23:12:44,"1× book-072, 1× book-072, 1× book-072, 1× book-006, 1× book-006, 1× book-006"
customer-2845,2023-10-04 21:13:58,"1× book-012, 1× book-012, 1× book-012"
customer-22176,2023-10-04 19:31:31,1× book-104
customer-22178,2023-10-04 15:45:09,1× book-073
customer-22179,2023-10-04 15:23:14,1× book-032
customer-10579,2023-10-04 12:22:16,"1× book-096, 1× book-032, 1× book-042, 1× book-042, 1× book-042, 1× book-020, 1× book-020, 1× book-020, 1× book-077, 1× book-074, 1× book-074, 1× book-074, 1× book-061, 1× book-089"
customer-22180,2023-10-04 09:40:08,1× book-032
customer-8443,2023-10-04 09:28:33,1× book-042
customer-22183,2023-10-04 08:28:01,1× book-032
customer-2924,2023-10-04 07:20:09,"1× book-023, 1× book-015, 1× book-048"
customer-22185,2023-10-03 22:03:29,"1× book-073, 1× book-048"
customer-22187,2023-10-03 21:33:36,"1× book-008, 1× book-014, 1× book-059"
customer-22188,2023-10-03 21:04:46,"1× book-032, 1× book-032, 1× book-032, 1× book-001, 1× book-001, 1× book-001"
customer-11144,2023-10-03 20:12:45,1× book-032
customer-22190,2023-10-03 19:02:01,3× book-023
customer-22192,2023-10-03 15:28:25,1× book-032
customer-22194,2023-10-03 14:26:12,1× book-000
customer-15239,2023-10-03 13:50:48,"1× book-078, 1× book-078, 1× book-078"
customer-1892,2023-10-03 12:45:13,"1× book-073, 1× book-073, 1× book-073, 1× book-035, 1× book-035, 1× book-035"
customer-3644,2023-10-03 11:39:56,"1× book-003, 1× book-003, 1× book-003"
customer-842,2023-10-03 09:51:22,1× book-047
customer-22198,2023-10-03 08:29:22,1× book-032
customer-6981,2023-10-03 07:47:26,"1× book-014, 1× book-014, 1× book-014, 1× book-014"
customer-22200,2023-10-03 06:45:00,1× book-023
customer-22201,2023-10-02 22:26:07,"1× book-053, 1× book-053, 1× book-053"
customer-22203,2023-10-02 19:33:38,1× book-032
customer-22204,2023-10-02 18:40:20,"1× book-008, 1× book-008, 1× book-008"
customer-20950,2023-10-02 16:08:11,"1× book-059, 1× book-059, 1× book-059, 1× book-020, 1× book-020, 1× book-020"
customer-22207,2023-10-02 15:11:13,"1× book-032, 1× book-032, 1× book-032"
customer-22208,2023-10-02 14:58:10,"1× book-029, 1× book-029, 1× book-029, 1× book-000"
customer-2296,2023-10-02 14:04:02,1× book-047
customer-22210,2023-10-02 13:11:55,"1× book-032, 1× book-032, 1× book-032"
customer-10587,2023-10-02 12:04:18,"1× book-038, 1× book-038, 1× book-038"
customer-22213,2023-10-02 11:02:20,5× book-104
customer-4752,2023-10-02 10:18:09,"1× book-000, 1× book-000, 1× book-000"
customer-22215,2023-10-02 09:51:39,"1× book-042, 1× book-042, 1× book-042"
customer-10587,2023-10-02 08:31:23,"1× book-042, 1× book-042, 1× book-042, 1× book-023, 1× book-023, 1× book-023"
customer-15006,2023-10-01 22:16:09,1× book-062
customer-22217,2023-10-01 22:03:57,1× book-074
customer-11072,2023-10-01 21:38:27,1× book-038
customer-22219,2023-10-01 19:35:56,"1× book-051, 1× book-023, 1× book-047"
customer-11535,2023-10-01 17:52:58,"1× book-119, 1× book-008, 1× book-048"
customer-19136,2023-10-01 13:49:39,1× book-053
customer-22221,2023-10-01 13:22:58,"1× book-032, 1× book-032, 1× book-032, 1× book-001, 1× book-001, 1× book-001"
customer-22222,2023-10-01 12:21:19,1× book-101
customer-9688,2023-10-01 11:17:45,1× book-042
customer-2233,2023-10-01 10:10:43,1× book-112
customer-22224,2023-10-01 06:38:56,1× book-032
customer-22225,2023-09-30 22:13:27,"1× book-001, 1× book-032, 1× book-000, 1× book-000, 1× book-000, 1× book-074, 1× book-074, 1× book-074"
customer-17345,2023-09-30 19:32:31,1× book-039
customer-22228,2023-09-30 19:22:15,1× book-032
customer-21380,2023-09-30 16:52:01,"1× book-006, 1× book-006, 1× book-006"
customer-21001,2023-09-30 13:38:13,"1× book-048, 1× book-048, 1× book-048"
customer-22231,2023-09-30 10:54:50,1× book-032
customer-22233,2023-09-30 08:48:30,1× book-032
customer-22235,2023-09-29 22:15:41,"1× book-019, 1× book-019, 1× book-019"
customer-22237,2023-09-29 20:32:58,1× book-032
customer-22239,2023-09-29 17:52:02,1× book-032
customer-20456,2023-09-29 15:42:26,1× book-084
customer-22241,2023-09-29 13:49:27,"1× book-073, 1× book-073, 1× book-073"
customer-22242,2023-09-29 13:20:05,"1× book-001, 1× book-032, 1× book-104"
customer-22243,2023-09-29 12:41:55,"1× book-012, 1× book-012, 1× book-012"
customer-22245,2023-09-29 10:59:54,"1× book-078, 1× book-078, 1× book-078"
customer-14952,2023-09-29 08:27:00,"1× book-074, 1× book-074, 1× book-074"
customer-7847,2023-09-29 08:11:23,"1× book-051, 1× book-051, 1× book-051, 1× book-051, 1× book-014, 1× book-014, 1× book-014, 1× book-014, 1× book-003, 1× book-003, 1× book-003, 1× book-003, 1× book-023, 1× book-023, 1× book-023, 1× book-023"
customer-11736,2023-09-29 07:47:42,"1× book-003, 1× book-003, 1× book-003"
customer-22248,2023-09-28 22:32:56,"1× book-104, 1× book-104, 1× book-104"
customer-22250,2023-09-28 22:10:36,1× book-000
customer-3577,2023-09-28 20:42:51,1× book-047
customer-11232,2023-09-28 20:12:39,"1× book-053, 1× book-053, 1× book-053"
customer-22252,2023-09-28 16:12:57,1× book-000
customer-22253,2023-09-28 14:05:28,1× book-003
customer-22255,2023-09-28 12:17:58,1× book-053
customer-22256,2023-09-28 11:14:28,"1× book-048, 1× book-048, 1× book-048"
customer-22258,2023-09-27 22:48:21,1× book-073
customer-22260,2023-09-27 21:19:36,"1× book-075, 1× book-075, 1× book-075"
customer-22261,2023-09-27 19:17:43,"1× book-048, 1× book-048, 1× book-048"
customer-22262,2023-09-27 16:22:00,1× book-064
customer-22264,2023-09-27 15:41:57,"1× book-042, 1× book-045"
customer-21031,2023-09-27 15:22:15,1× book-103
customer-22267,2023-09-27 14:34:51,1× merch-014
customer-16814,2023-09-27 12:48:25,"1× book-023, 1× book-023, 1× book-023"
customer-22270,2023-09-27 11:56:35,1× book-059
customer-22271,2023-09-27 10:06:58,1× book-032
customer-11423,2023-09-27 07:39:43,1× book-076
customer-22274,2023-09-26 22:33:28,"1× book-003, 1× book-003, 1× book-003"
customer-8462,2023-09-26 22:00:43,"1× book-032, 1× book-042, 1× book-074, 1× book-023, 1× book-008, 1× book-000, 1× book-001, 1× book-053, 1× book-080"
customer-2684,2023-09-26 19:19:10,"1× book-103, 1× book-108"
customer-22278,2023-09-26 16:42:23,"1× book-015, 1× book-023"
customer-595,2023-09-26 15:24:44,"1× book-101, 1× book-101, 1× book-101"
customer-7620,2023-09-26 13:17:26,1× book-032
customer-22281,2023-09-26 12:50:39,"1× book-035, 1× book-035, 1× book-035"
customer-21871,2023-09-26 12:10:29,"5× book-001, 5× book-032"
customer-2900,2023-09-26 10:58:27,1× book-003
customer-7594,2023-09-26 09:35:18,"1× book-014, 1× book-070"
customer-22286,2023-09-26 06:45:01,1× book-014
customer-2825,2023-09-25 22:41:31,"1× book-008, 1× book-008, 1× book-008"
customer-54,2023-09-25 20:50:53,1× book-038
customer-22290,2023-09-25 19:31:31,1× book-042
customer-11268,2023-09-25 17:24:21,1× merch-006
customer-22293,2023-09-25 16:44:25,"1× book-000, 1× book-000, 1× book-000"
customer-22295,2023-09-25 15:08:22,1× book-032
customer-2012,2023-09-25 14:23:41,"1× book-062, 1× book-029, 1× book-008, 1× book-074"
customer-7074,2023-09-25 13:07:27,"1× book-048, 1× book-077, 1× book-138, 1× book-059"
customer-40,2023-09-25 12:42:39,1× book-015
customer-22298,2023-09-25 11:33:10,1× book-032
customer-22300,2023-09-25 09:57:11,1× book-032
customer-22301,2023-09-25 07:32:27,1× book-064
customer-6339,2023-09-25 03:50:56,"1× book-051, 1× book-051, 1× book-051, 1× book-023, 1× book-023, 1× book-023"
customer-11254,2023-09-24 23:27:13,"1× book-015, 1× book-074, 1× book-003, 1× book-061, 1× book-078, 1× book-023, 1× book-073, 1× book-064, 1× book-051, 1× book-008, 1× book-012"
customer-8073,2023-09-24 23:06:00,"1× book-081, 1× book-081, 1× book-081"
customer-22303,2023-09-24 21:18:04,1× book-077
customer-14438,2023-09-24 20:05:33,"1× book-032, 1× book-132, 1× book-014"
customer-22305,2023-09-24 19:35:25,"1× book-032, 1× book-001"
customer-21244,2023-09-24 18:55:24,1× book-023
customer-8113,2023-09-24 18:47:50,1× book-042
customer-11096,2023-09-24 17:46:35,1× book-032
customer-6427,2023-09-24 16:40:27,"1× book-038, 1× book-038, 1× book-038"
customer-6427,2023-09-24 16:34:28,"1× book-104, 1× book-104, 1× book-104, 1× book-056, 1× book-056, 1× book-056"
customer-12429,2023-09-24 15:41:38,"1× book-104, 1× book-062, 1× book-154, 2× book-123"
customer-22312,2023-09-24 14:37:05,1× book-000
customer-3551,2023-09-24 12:23:57,"1× book-118, 1× book-118, 1× book-118, 1× book-042, 1× book-042, 1× book-042, 1× book-051, 1× book-051, 1× book-051"
customer-3788,2023-09-24 11:11:42,"1× book-059, 1× book-059, 1× book-059"
customer-20130,2023-09-24 09:56:39,1× book-004
customer-22314,2023-09-24 08:21:35,"1× book-013, 1× book-013, 1× book-013"
customer-11339,2023-09-23 22:36:31,"1× book-060, 1× book-060, 1× book-060"
customer-207,2023-09-23 21:51:09,1× book-023
customer-4252,2023-09-23 20:16:58,1× book-080
customer-22316,2023-09-23 18:46:25,"1× book-125, 1× book-125, 1× book-125"
customer-22318,2023-09-23 17:31:04,1× book-103
customer-22320,2023-09-23 15:16:42,"1× book-035, 1× book-035, 1× book-035"
customer-22322,2023-09-23 08:39:26,"1× book-000, 1× book-000, 1× book-000"
customer-22230,2023-09-22 21:26:01,1× book-032
customer-22325,2023-09-22 19:30:22,"1× book-004, 1× book-004, 1× book-004, 1× book-038"
customer-22326,2023-09-22 15:53:30,"1× book-128, 1× book-128, 1× book-128"
customer-1444,2023-09-22 13:38:29,1× book-059
customer-335,2023-09-22 09:39:58,"1× book-000, 1× book-000, 1× book-000, 1× book-032, 1× book-032, 1× book-032, 1× book-119, 1× book-119, 1× book-119"
customer-16877,2023-09-22 08:28:03,1× book-032
customer-2857,2023-09-21 22:46:39,"1× book-135, 1× book-135, 1× book-135"
customer-22331,2023-09-21 21:03:39,1× book-032
customer-22332,2023-09-21 18:06:30,1× book-048
customer-22333,2023-09-21 15:55:08,1× book-048
customer-22335,2023-09-21 11:07:51,1× book-042
customer-22336,2023-09-21 10:07:27,1× book-032
customer-8301,2023-09-21 08:53:17,"1× book-056, 1× book-107, 1× book-078, 1× book-014"
customer-2508,2023-09-21 08:13:46,"1× book-032, 1× book-012, 1× book-089"
customer-22339,2023-09-21 06:19:24,"1× book-017, 1× book-017, 1× book-017"
customer-22341,2023-09-20 22:40:19,1× book-032
customer-14014,2023-09-20 18:19:04,1× book-060
customer-22344,2023-09-20 16:58:07,1× book-032
customer-22346,2023-09-20 16:16:44,2× merch-006
customer-22348,2023-09-20 12:46:52,1× book-032
customer-17830,2023-09-20 11:23:03,1× book-032
customer-22351,2023-09-20 09:03:16,"1× book-035, 1× book-035, 1× book-035"
customer-21812,2023-09-20 08:08:43,1× book-039
customer-19223,2023-09-20 08:00:35,1× book-000
customer-22353,2023-09-20 07:33:40,1× book-125
customer-22355,2023-09-20 07:23:15,1× book-089
customer-20026,2023-09-19 23:17:02,1× book-103
customer-22358,2023-09-19 21:24:52,1× book-032
customer-22359,2023-09-19 20:34:31,1× book-032
customer-22361,2023-09-19 20:06:01,1× book-032
customer-17327,2023-09-19 19:04:07,"1× book-001, 1× book-032"
customer-22364,2023-09-19 16:36:41,"1× book-032, 1× book-000, 1× book-001"
customer-225,2023-09-19 14:42:47,"1× book-003, 1× book-003, 1× book-003"
customer-428,2023-09-19 14:15:23,"1× book-042, 1× book-042, 1× book-042"
customer-22368,2023-09-19 12:57:54,"1× book-008, 1× book-107, 1× book-108, 1× book-131, 1× book-132"
customer-13722,2023-09-19 11:59:06,"1× book-107, 1× book-107, 1× book-107"
customer-22370,2023-09-19 11:54:55,1× book-001
customer-22371,2023-09-19 11:12:33,"1× book-001, 1× book-032, 1× book-000"
customer-4700,2023-09-19 09:51:57,1× book-032
customer-10035,2023-09-19 09:29:39,"1× book-000, 1× book-000, 1× book-000, 1× book-053, 1× book-053, 1× book-053, 1× book-053, 1× book-023, 1× book-032"
customer-22373,2023-09-19 07:42:39,"1× book-012, 1× book-048"
customer-22375,2023-09-18 21:38:04,1× book-017
customer-22376,2023-09-18 20:54:43,1× book-032
customer-22378,2023-09-18 19:55:51,"1× book-095, 1× book-032, 1× book-007"
customer-22379,2023-09-18 18:36:58,1× book-032
customer-22381,2023-09-18 17:04:38,"1× book-104, 1× book-104, 1× book-104"
customer-22383,2023-09-18 16:34:45,1× book-032
customer-2076,2023-09-18 14:20:58,"1× book-032, 1× book-032, 1× book-032"
customer-22385,2023-09-18 12:31:27,1× book-032
customer-18963,2023-09-18 10:50:16,"1× book-061, 1× book-061, 1× book-061"
customer-9257,2023-09-18 09:12:31,2× book-032
customer-22389,2023-09-18 07:51:06,"1× book-053, 1× book-053, 1× book-053"
customer-22391,2023-09-17 22:07:43,1× book-108
customer-22393,2023-09-17 21:18:06,1× book-034
customer-22395,2023-09-17 20:27:44,1× book-032
customer-11762,2023-09-17 18:16:31,"1× book-042, 1× book-042, 1× book-042, 1× book-074, 1× book-074, 1× book-074"
customer-22397,2023-09-17 16:44:25,1× book-032
customer-21511,2023-09-17 15:41:34,"1× book-142, 1× book-142, 1× book-142"
customer-22399,2023-09-17 14:24:50,1× book-032
customer-22400,2023-09-17 14:12:50,"1× book-017, 1× book-017, 1× book-017, 1× book-075, 1× book-075, 1× book-075, 1× book-064, 1× book-064, 1× book-064"
customer-21628,2023-09-17 13:54:03,1× book-032
customer-22403,2023-09-17 12:18:43,"1× book-003, 1× book-042, 1× book-032, 1× book-114"
customer-22404,2023-09-17 11:12:24,1× book-032
customer-22405,2023-09-17 11:00:33,"1× book-042, 1× book-042, 1× book-042"
customer-13369,2023-09-17 10:50:48,1× book-020
customer-22406,2023-09-17 00:20:38,"1× book-003, 1× book-003, 1× book-003"
customer-22408,2023-09-16 23:03:02,"1× book-118, 1× book-118, 1× book-118, 1× book-012, 1× book-012, 1× book-012"
customer-22409,2023-09-16 22:08:43,"1× book-032, 1× book-032, 1× book-032"
customer-1195,2023-09-16 18:13:58,1× book-032
customer-6371,2023-09-16 18:01:55,"1× book-078, 1× book-078, 1× book-078, 1× book-078"
customer-22411,2023-09-16 14:56:14,1× book-094
customer-22412,2023-09-16 11:55:12,"1× book-039, 1× book-039, 1× book-039, 1× book-039"
customer-21118,2023-09-16 11:43:19,"1× book-073, 1× book-073, 1× book-073, 1× book-042, 1× book-042, 1× book-042"
customer-22370,2023-09-16 08:57:13,1× book-001
customer-8502,2023-09-15 23:54:01,"1× book-048, 1× book-048, 1× book-048"
customer-22414,2023-09-15 22:38:26,"1× merch-003, 1× merch-002, 1× merch-001"
customer-22415,2023-09-15 19:27:25,1× book-064
customer-271,2023-09-15 17:28:05,1× book-073
customer-12091,2023-09-15 16:28:43,"1× book-135, 1× book-073, 1× book-023"
customer-22417,2023-09-15 16:10:54,1× book-039
customer-10299,2023-09-15 14:13:36,"1× book-032, 1× book-014, 1× book-051"
customer-22419,2023-09-15 12:47:55,"1× book-042, 1× book-032"
customer-22421,2023-09-15 12:07:03,1× book-032
customer-21885,2023-09-15 11:47:06,1× book-023
customer-22424,2023-09-15 11:21:49,1× book-143
customer-22426,2023-09-15 11:07:17,1× book-142
customer-666,2023-09-15 10:20:48,"1× book-148, 1× book-070, 1× book-083"
customer-22429,2023-09-15 09:12:54,1× book-077
customer-22431,2023-09-15 09:06:50,1× book-000
customer-22433,2023-09-15 08:29:38,1× book-032
customer-4209,2023-09-15 07:12:12,"1× book-003, 1× book-003, 1× book-003"
customer-22436,2023-09-14 21:57:34,1× book-032
customer-22437,2023-09-14 21:01:12,"1× book-032, 1× book-032, 1× book-032"
customer-22439,2023-09-14 19:45:42,1× book-032
customer-11528,2023-09-14 16:59:33,"1× book-090, 1× book-090, 1× book-090"
customer-8888,2023-09-14 16:56:15,"1× book-032, 1× book-015, 1× book-042, 1× book-042, 1× book-042, 1× book-042"
customer-22441,2023-09-14 15:20:02,1× book-032
customer-22443,2023-09-14 14:39:24,"1× book-014, 1× book-014, 1× book-014, 1× book-014"
customer-22445,2023-09-14 12:51:52,1× book-029
customer-22447,2023-09-14 11:30:44,1× book-132
customer-22448,2023-09-14 09:44:15,2× book-032
customer-22450,2023-09-14 09:17:42,1× book-074
customer-22451,2023-09-14 02:06:24,"1× book-035, 1× book-035, 1× book-035, 1× book-035"
customer-13011,2023-09-13 22:36:40,1× book-084
customer-22453,2023-09-13 19:23:10,"1× book-081, 1× book-081, 1× book-081"
customer-17833,2023-09-13 17:46:45,"1× book-003, 1× book-003, 1× book-003"
customer-6782,2023-09-13 16:16:59,"1× book-075, 1× book-075, 1× book-075"
customer-16643,2023-09-13 15:21:37,1× book-012
customer-13301,2023-09-13 14:37:34,1× book-042
customer-94,2023-09-13 14:10:42,1× book-155
customer-21486,2023-09-13 12:41:15,"1× book-074, 1× book-042, 1× book-051"
customer-8906,2023-09-13 12:26:00,"1× book-032, 1× book-042"
customer-22459,2023-09-13 10:17:42,"1× book-032, 1× book-032, 1× book-032, 1× book-001, 1× book-001, 1× book-001"
customer-19190,2023-09-13 09:32:40,1× book-032
customer-22461,2023-09-13 07:50:05,1× book-032
customer-22463,2023-09-13 06:31:38,"1× book-084, 1× book-084, 1× book-084"
customer-22465,2023-09-12 22:09:38,1× book-032
customer-22466,2023-09-12 21:10:45,"1× book-070, 1× book-070, 1× book-070"
customer-22468,2023-09-12 20:49:22,1× book-023
customer-10034,2023-09-12 17:17:12,"1× book-042, 1× book-038"
customer-5611,2023-09-12 15:31:53,1× book-000
customer-10433,2023-09-12 15:25:18,1× book-048
customer-22258,2023-09-12 14:41:30,"1× book-074, 1× book-104"
customer-22472,2023-09-12 14:22:24,"1× book-084, 1× book-084, 1× book-084"
customer-10244,2023-09-12 13:36:52,"1× book-032, 1× book-094, 1× book-056"
customer-22474,2023-09-12 12:59:00,1× book-081
customer-22476,2023-09-12 12:22:09,1× book-032
customer-22477,2023-09-12 11:39:56,2× book-032
customer-22478,2023-09-12 11:04:28,1× book-032
customer-4581,2023-09-12 10:44:38,1× book-051
customer-22481,2023-09-12 09:54:23,"1× book-082, 1× book-082, 1× book-082"
customer-14867,2023-09-12 08:47:36,1× book-023
customer-22483,2023-09-12 06:23:44,1× book-032
customer-22484,2023-09-12 05:27:33,1× book-032
customer-5980,2023-09-11 22:46:15,1× book-048
customer-22487,2023-09-11 19:55:21,1× book-032
customer-22489,2023-09-11 19:14:09,"1× book-039, 1× book-039, 1× book-039"
customer-22491,2023-09-11 17:38:35,1× book-073
customer-22493,2023-09-11 17:27:48,1× book-028
customer-10576,2023-09-11 15:52:09,1× book-042
customer-9781,2023-09-11 15:35:51,1× merch-006
customer-1090,2023-09-11 14:54:33,"1× book-048, 1× book-048, 1× book-048, 1× book-014, 1× book-014, 1× book-014"
customer-22496,2023-09-11 13:16:23,1× book-032
customer-22498,2023-09-11 11:14:05,1× book-032
customer-9545,2023-09-11 10:22:49,"1× book-104, 1× book-032"
customer-22500,2023-09-11 09:05:21,"1× book-032, 1× book-032, 1× book-032"
customer-22501,2023-09-11 08:49:08,1× book-032
customer-5477,2023-09-11 05:12:39,"1× book-141, 1× book-141, 1× book-141"
customer-18695,2023-09-10 22:22:00,"1× book-064, 1× book-064, 1× book-064"
customer-15742,2023-09-10 21:23:10,"1× book-042, 1× book-042, 1× book-042"
customer-22503,2023-09-10 20:07:20,"1× book-032, 1× book-048, 1× book-038"
customer-22504,2023-09-10 19:43:12,"1× book-042, 1× book-042, 1× book-042"
customer-22505,2023-09-10 17:54:34,1× book-039
customer-2618,2023-09-10 16:34:59,"1× book-051, 1× book-051, 1× book-051"
customer-22135,2023-09-10 14:52:38,1× book-070
customer-22508,2023-09-10 13:48:14,"1× book-017, 1× book-090, 1× book-012"
customer-22510,2023-09-10 12:53:22,1× book-081
customer-22512,2023-09-10 11:51:49,1× book-032
customer-22513,2023-09-10 11:19:13,1× book-032
customer-22515,2023-09-10 09:13:20,"1× book-048, 1× book-048, 1× book-048"
customer-12923,2023-09-10 08:51:49,1× book-051
customer-22518,2023-09-10 08:04:39,1× book-032
customer-3830,2023-09-10 04:59:47,"1× book-003, 1× book-003, 1× book-003, 1× book-003"
customer-22520,2023-09-09 22:53:05,"1× book-032, 1× book-001, 1× book-000, 1× book-003, 1× book-070"
customer-22521,2023-09-09 21:08:15,"1× book-032, 1× book-032, 1× book-032"
customer-22522,2023-09-09 20:18:45,1× book-032
customer-242,2023-09-09 19:22:14,"1× book-042, 1× book-042, 1× book-042"
customer-22525,2023-09-09 16:44:54,"1× book-000, 1× book-000, 1× book-000"
customer-5233,2023-09-09 11:57:07,1× book-010
customer-22528,2023-09-09 11:49:15,1× book-032
customer-13861,2023-09-09 10:42:07,"1× book-039, 1× book-039, 1× book-039"
customer-22531,2023-09-09 09:13:48,1× book-032
customer-5043,2023-09-09 08:22:25,1× book-074
customer-22533,2023-09-09 08:14:28,1× book-048
customer-6401,2023-09-09 06:38:05,1× book-032
customer-14718,2023-09-08 21:03:20,"1× book-003, 1× book-003, 1× book-003"
customer-15584,2023-09-08 17:22:37,"1× book-032, 1× book-032, 1× book-032"
customer-22537,2023-09-08 15:51:33,1× book-032
