Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2009:Q3,pct00to20,2138308,2792836,1076521,276261,276013,170099,36386,453190,504366,654527,352896,250328,51303
2009:Q4,pct99to100,11904918,12707805,2172024,449847,3840184,428781,598580,1710813,3507576,802886,619953,41699,141234
2009:Q4,pct80to99,26984900,32797468,8491500,1612785,4796559,5698415,3353812,2652826,6191570,5812568,4788376,831949,192243
2009:Q4,pct60to80,8524718,11807037,3618350,1000665,982501,2706380,918465,562874,2017801,3282318,2538770,652703,90845
2009:Q4,pct40to60,5458374,7442840,2422152,758026,494086,1625892,427406,290422,1424855,1984465,1459167,488977,36321
2009:Q4,pct20to40,3314030,4262935,1638518,454087,255330,689605,96311,203516,925568,948905,639037,280177,29691
2009:Q4,pct00to20,2146462,2822441,1074722,284722,290849,168040,39927,455740,508440,675979,361449,259513,55017
2010:Q1,pct99to100,12127688,12929612,2178322,441251,4035886,433708,618641,1736366,3485438,801925,618073,40403,143449
2010:Q1,pct80to99,27669652,33446288,8449812,1613726,5139038,5845482,3502001,2687000,6209229,5776635,4728600,814494,233541
2010:Q1,pct60to80,8654722,11846217,3557827,994005,1006711,2765036,936894,569340,2016404,3191495,2472496,619102,99897
2010:Q1,pct40to60,5538818,7509949,2407001,761528,515855,1644035,438930,310182,1432418,1971130,1445727,480582,44821
2010:Q1,pct20to40,3310262,4262146,1640078,452795,260112,684881,95692,209054,919534,951884,643287,269323,39274
2010:Q1,pct00to20,2166396,2880038,1081487,287498,309282,169124,43451,464935,524261,713641,367279,269153,77209
2010:Q2,pct99to100,11759116,12564122,2183192,433911,3561752,434863,592415,1848086,3509903,805006,622684,41975,140347
2010:Q2,pct80to99,27440353,33195779,8409949,1609413,4771279,5963329,3404445,2821164,6216200,5755425,4695704,812784,246937
2010:Q2,pct60to80,8552488,11679741,3500146,984518,909039,2815594,863447,594536,2012461,3127253,2421687,602118,103448
2010:Q2,pct40to60,5560210,7531923,2417371,762262,493850,1664255,411935,349403,1432847,1971712,1444755,479783,47174
2010:Q2,pct20to40,3263120,4221430,1633727,450907,245809,676475,86147,217150,911215,958311,651137,266944,40230
2010:Q2,pct00to20,2195455,2930385,1090261,289900,308931,171095,46583,480097,543517,734930,376890,274849,83191
2010:Q3,pct99to100,12280658,13080512,2159094,422978,4026412,438957,632158,1892454,3508459,799854,621666,44113,134075
2010:Q3,pct80to99,28458422,34186273,8255768,1611626,5399765,6114499,3664845,2878325,6261445,5727851,4658308,823555,245988
2010:Q3,pct60to80,8762985,11837906,3466088,977947,983024,2883508,923680,605426,1998233,3074920,2373579,596338,105003
2010:Q3,pct40to60,5728292,7699500,2459507,767030,533756,1691229,441294,372744,1433940,1971209,1438086,485815,47308
2010:Q3,pct20to40,3269350,4232408,1636128,448931,258650,669369,89307,223379,906644,963058,656997,268209,37852
2010:Q3,pct00to20,2259306,3010626,1114004,291853,335275,174309,50472,490985,553728,751320,383120,285696,82504
2010:Q4,pct99to100,12825094,13627365,2154655,442849,4449928,424806,662590,1978483,3514055,802272,612086,50475,139711
2010:Q4,pct80to99,29398912,35141988,8253767,1613278,5855412,6226529,3841379,2912483,6439140,5743076,4606969,870052,266055
2010:Q4,pct60to80,8997769,12072547,3403727,980538,1060715,2978920,1007592,614028,2027027,3074779,2331195,642443,101141
2010:Q4,pct40to60,5677542,7626466,2338096,755750,562498,1714868,466373,364655,1424225,1948924,1393038,509134,46752
2010:Q4,pct20to40,3269375,4245321,1608863,452084,267816,687806,97172,219265,912315,975946,646074,293075,36797
2010:Q4,pct00to20,2210129,2944168,1062035,291003,336619,178865,50407,479785,545454,734038,368536,281632,83870
2011:Q1,pct99to100,13280278,14087308,2130835,457675,4823174,403827,684473,2038916,3548408,807030,615252,48425,143353
2011:Q1,pct80to99,29878317,35650502,8141370,1625931,6255215,6266400,3948063,2915796,6497727,5772185,4608802,862949,300434
2011:Q1,pct60to80,9184174,12232938,3355046,988393,1128727,3036465,1064404,616939,2042964,3048764,2319113,633347,96304
2011:Q1,pct40to60,5641114,7566252,2262893,750991,587349,1724300,478522,349936,1412260,1925138,1372850,506714,45574
2011:Q1,pct20to40,3272195,4240108,1577322,455487,275096,703845,102265,214279,911814,967913,642497,291922,33494
2011:Q1,pct00to20,2163720,2890605,1022496,289785,335554,180629,49920,466532,545689,726885,361611,284952,80322
2011:Q2,pct99to100,13412763,14221802,2131403,481741,4804181,382092,685629,2109013,3627742,809039,613405,48529,147105
2011:Q2,pct80to99,30092971,35863134,8130098,1635029,6242015,6300970,3958290,2928625,6668107,5770163,4604394,871648,294121
2011:Q2,pct60to80,9322142,12362948,3348942,996164,1126542,3091443,1086467,621690,2091701,3040806,2307117,642525,91164
2011:Q2,pct40to60,5620631,7520483,2228365,742277,587543,1732816,476734,336701,1416047,1899853,1346883,509892,43078
2011:Q2,pct20to40,3257468,4223501,1541540,461901,271746,719957,104069,209425,914863,966034,637130,298329,30575
2011:Q2,pct00to20,2139236,2849695,998716,291962,324055,182172,49457,453519,549814,710458,351738,282154,76566
2011:Q3,pct99to100,12748776,13563577,2135495,484982,3950728,357223,634993,2201640,3798516,814801,613054,49456,152291
2011:Q3,pct80to99,29154090,34921070,8072710,1651765,5351273,6305201,3689573,2965054,6885494,5766979,4602269,886884,277826
2011:Q3,pct60to80,9230259,12270018,3355669,1003843,975317,3130845,1000071,630903,2173370,3039758,2295203,656417,88138
2011:Q3,pct40to60,5526100,7409446,2198500,742402,535595,1735407,429823,327766,1439953,1883346,1322708,518133,42505
2011:Q3,pct20to40,3244953,4216267,1546515,461400,246241,735244,95716,204965,926186,971315,632390,307493,31432
2011:Q3,pct00to20,2094500,2803334,982546,286237,291613,182539,48860,441351,570188,708834,342769,283792,82273
2011:Q4,pct99to100,13208927,14027925,2120489,502797,4256821,336284,661725,2310346,3839463,818998,610044,50346,158608
2011:Q4,pct80to99,29823555,35579993,8038322,1654683,5683132,6354411,3833006,3017313,6999125,5756438,4601787,904786,249865
2011:Q4,pct60to80,9448515,12495825,3342253,1006627,1031885,3194089,1074032,643114,2203825,3047310,2287344,674523,85443
2011:Q4,pct40to60,5530212,7394885,2142109,732272,556828,1747047,448972,321580,1446077,1864673,1296592,526178,41903
2011:Q4,pct20to40,3255093,4232675,1526270,463877,251722,752373,102269,200652,935512,977582,627007,317531,33044
2011:Q4,pct00to20,2057123,2762270,956523,284398,288207,184622,48471,429460,570589,705148,332164,282861,90123
2012:Q1,pct99to100,13888662,14712763,2110661,528694,4894143,316020,702488,2365961,3794797,824101,612004,49026,163071
2012:Q1,pct80to99,30761665,36527227,8008251,1659890,6359305,6413531,4064483,3008652,7013115,5765562,4591033,900154,274375
2012:Q1,pct60to80,9757023,12771664,3317897,1012474,1146669,3262818,1186482,644058,2201266,3014641,2265646,667856,81139
2012:Q1,pct40to60,5540606,7378431,2085325,721235,597744,1760727,484250,302718,1426432,1837825,1272186,524987,40652
2012:Q1,pct20to40,3257070,4228518,1487069,470135,265278,770052,112298,194914,928772,971448,622417,318692,30339
2012:Q1,pct00to20,2017155,2713393,927704,286487,291670,187079,48025,414260,558168,696238,324674,284325,87239
2012:Q2,pct99to100,13937155,14765420,2154370,537698,4710572,292029,692016,2482524,3896210,828265,609489,49879,168897
2012:Q2,pct80to99,30696849,36461428,8086878,1667825,6176332,6436448,3989697,3065313,7038936,5764579,4584328,915181,265070
2012:Q2,pct60to80,9867184,12879706,3367011,1016232,1115790,3313082,1174921,657192,2235479,3012522,2251998,683084,77440
2012:Q2,pct40to60,5523301,7339121,2096621,715654,588387,1767242,466550,296565,1408102,1815819,1244842,531687,39290
2012:Q2,pct20to40,3249768,4224595,1489167,470025,257600,786658,110692,190288,920166,974827,616780,328394,29653
2012:Q2,pct00to20,2008503,2694291,927954,281531,275431,188147,47336,401547,572345,685787,314393,282243,89151
2012:Q3,pct99to100,14513313,15340214,2201268,549034,5048050,269875,715039,2630012,3926937,826902,603275,49955,173672
2012:Q3,pct80to99,31536177,37325507,8208934,1674728,6536447,6481318,4112423,3153311,7158347,5789330,4585622,935041,268667
2012:Q3,pct60to80,10162129,13187713,3427398,1019883,1176834,3375154,1245707,676164,2266573,3025584,2248648,703201,73735
2012:Q3,pct40to60,5581491,7376112,2093474,708968,610360,1778146,483313,296367,1405484,1794621,1215899,540440,38282
2012:Q3,pct20to40,3282233,4259044,1498739,470624,262901,804182,116639,185964,919995,976811,610530,337724,28557
2012:Q3,pct00to20,1997515,2673572,929971,277370,270580,190059,46629,389477,569487,676057,301656,284092,90309
2012:Q4,pct99to100,14795800,15636336,2236797,563660,5102550,246522,719554,2734276,4032977,840535,608969,53939,177627
2012:Q4,pct80to99,31964927,37728371,8316866,1685358,6601603,6516342,4135021,3191663,7281518,5763444,4574981,954427,234036
2012:Q4,pct60to80,10368610,13384194,3474575,1026419,1187939,3432524,1276773,685974,2299990,3015585,2223598,722310,69677
2012:Q4,pct40to60,5570939,7354113,2074444,703273,615293,1787084,483502,285766,1404750,1783174,1195578,550880,36716
2012:Q4,pct20to40,3290239,4280543,1502509,473380,260971,821499,118878,180492,922814,990304,607140,354395,28769
2012:Q4,pct00to20,1978330,2646462,928686,275349,258957,191600,45974,374736,571160,668132,296728,276953,94451
2013:Q1,pct99to100,15692528,16512433,2305322,584801,5828949,237521,752264,2831185,3972390,819905,590509,47167,182229
2013:Q1,pct80to99,33228319,39028253,8565153,1690729,7361177,6700110,4309755,3219865,7181464,5799934,4589090,957053,253791
2013:Q1,pct60to80,10782621,13817762,3558871,1031303,1316237,3567062,1372328,693950,2278012,3035141,2242727,726161,66253
2013:Q1,pct40to60,5664507,7405959,2070480,693387,659182,1825613,509727,272735,1374835,1741453,1157115,548207,36131
2013:Q1,pct20to40,3344518,4317306,1507865,477652,275077,843878,126885,174627,911322,972788,597807,347692,27289
2013:Q1,pct00to20,1976103,2634448,934883,275218,261068,198842,44983,359054,560400,658345,275649,287493,95203
2013:Q2,pct99to100,15978720,16803695,2397465,595665,5924855,220534,756909,3036646,3871621,824975,589210,47885,187880
2013:Q2,pct80to99,33717516,39550413,8794184,1694859,7467453,6892204,4329140,3362815,7009757,5832897,4594685,973067,265145
2013:Q2,pct60to80,11016868,14061996,3662142,1033234,1334171,3671634,1404262,723099,2233454,3045128,2237984,743801,63343
2013:Q2,pct40to60,5709608,7433170,2103984,685371,666083,1858125,509484,282834,1327289,1723562,1133619,554217,35726
2013:Q2,pct20to40,3362152,4340137,1527648,477414,273709,871056,129022,170269,891019,977985,593211,358154,26620
2013:Q2,pct00to20,1965781,2613623,954254,270276,249289,204549,44170,346805,544280,647842,265889,283068,98885
2013:Q3,pct99to100,16635897,17466902,2472948,600289,6286825,204890,785188,3234068,3882694,831005,590397,48998,191610
2013:Q3,pct80to99,34802584,40670187,9013333,1705927,7846971,7098194,4482421,3494236,7029106,5867603,4618151,995559,253893
2013:Q3,pct60to80,11420060,14490705,3781141,1037881,1398119,3783400,1494485,750077,2245603,3070645,2245550,766314,58781
2013:Q3,pct40to60,5838368,7554241,2148305,682278,687981,1893392,533055,290491,1318739,1715872,1116995,565007,33870
