Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2006:Q4,GenX,5852279,10222153,4838964,984251,1037841,489991,632865,1010015,1228227,4369874,3429868,908218,31788
2006:Q4,Millennial,306627,552866,223343,113391,25853,2615,8380,99115,80169,246239,112670,131843,1726
2007:Q1,Silent,27020427,28915195,7677972,1277921,6230199,3888651,1096271,3194450,5549732,1894769,1293180,338752,262837
2007:Q1,BabyBoom,31710657,38106552,11099638,1916791,6259228,5862382,3756728,4128912,5082873,6395895,5095487,1054609,245799
2007:Q1,GenX,6010960,10514280,4861984,1023446,1139625,524773,643041,1012960,1308451,4503319,3567179,904768,31372
2007:Q1,Millennial,303436,588262,225706,126474,32781,2928,8029,102208,90135,284826,141409,142042,1375
2007:Q2,Silent,26919454,28833222,7601597,1264413,6365028,3819575,1106769,3215836,5460004,1913768,1305332,337712,270724
2007:Q2,BabyBoom,32224584,38717291,11003332,1931725,6459637,6002817,3912749,4199916,5207115,6492707,5140953,1066157,285597
2007:Q2,GenX,6205764,10845772,4925091,1058110,1194519,593913,713991,1034493,1325655,4640007,3690741,918209,31057
2007:Q2,Millennial,309176,625107,225748,137373,36541,7320,10905,109895,97325,315931,158167,154888,2876
2007:Q3,Silent,27002530,28929330,7490763,1253242,6394357,3751038,1108872,3212494,5718564,1926800,1314215,338083,274502
2007:Q3,BabyBoom,32851237,39385247,10916105,1942152,6528879,6129627,4001175,4241557,5625753,6534011,5202125,1086050,245836
2007:Q3,GenX,6285046,11071859,4950491,1086713,1184236,661881,734735,1044825,1408978,4786814,3794133,954481,38200
2007:Q3,Millennial,289652,630433,217469,145835,35093,12319,11115,114911,93691,340781,162199,176938,1644
2007:Q4,Silent,26433535,28346452,7339968,1240632,6027958,3740637,1073190,3120131,5803936,1912917,1314508,333958,264451
2007:Q4,BabyBoom,32847089,39457100,10808708,1969811,6296490,6222451,3975754,4210468,5973417,6610011,5236963,1102768,270280
2007:Q4,GenX,6082410,10952315,4853311,1103666,1076184,686164,723111,1025224,1484655,4869905,3845568,982769,41568
2007:Q4,Millennial,315131,687668,242025,160679,27880,17537,11315,113506,114726,372537,180095,189982,2460
2008:Q1,Silent,25547844,27438957,7064735,1239355,5555763,3728081,1025256,2905557,5920211,1891113,1311766,321117,258230
2008:Q1,BabyBoom,32284940,38950625,10542603,1997473,5920779,6299286,3827245,4027470,6335770,6665685,5243261,1091262,331162
2008:Q1,GenX,5636022,10560228,4706095,1114749,891639,709865,621660,945766,1570453,4924206,3889770,989985,44451
2008:Q1,Millennial,282372,692199,244744,171801,13070,23581,6002,94824,138177,409827,205326,199644,4857
2008:Q2,Silent,24884062,26737974,6797488,1239738,5275003,3717695,998795,2826060,5883194,1853912,1302253,314100,237559
2008:Q2,BabyBoom,32235633,38725661,10345177,2016952,5784000,6396715,3815052,4001797,6365968,6490028,5111015,1098065,280948
2008:Q2,GenX,5391229,10380539,4611032,1114346,834253,734497,633192,930532,1522688,4989310,3941035,1002489,45786
2008:Q2,Millennial,206996,700111,245847,177706,9040,29311,7702,93533,136973,493115,284980,205799,2336
2008:Q3,Silent,23970322,25804610,6574631,1227674,4657558,3704849,946208,2697718,5995972,1834288,1287923,304192,242173
2008:Q3,BabyBoom,31362104,38015791,10132709,2036931,5207610,6475517,3648602,3912444,6601978,6653686,5156996,1095204,401486
2008:Q3,GenX,4889099,9867900,4476167,1122930,532791,758392,513440,890553,1573627,4978801,3903683,1023083,52035
2008:Q3,Millennial,228438,721055,257905,190198,0,36019,692,84572,151669,492617,263240,221335,8042
2008:Q4,Silent,22850883,24629354,6366662,1199528,3799676,3687983,878822,2513978,6182705,1778471,1270158,294427,213886
2008:Q4,BabyBoom,30259972,36715273,9928518,2042385,4307152,6523453,3319258,3749971,6844536,6455301,5149140,1089922,216239
2008:Q4,GenX,4104833,9061541,4323159,1122444,0,780977,296399,821945,1716617,4956708,3862325,1029615,64768
2008:Q4,Millennial,255712,746226,277287,201889,0,44240,11,66078,156721,490513,258443,229825,2245
2009:Q1,Silent,22003186,23735269,6153141,1176130,3314780,3667132,840741,2340012,6243332,1732083,1259929,277120,195034
2009:Q1,BabyBoom,29521677,35970308,9729438,2047164,3902484,6541525,3247189,3593748,6908759,6448631,5198837,1055264,194530
2009:Q1,GenX,3910085,8832730,4192491,1117724,0,802235,257909,756680,1705691,4922645,3846162,1011594,64889
2009:Q1,Millennial,286269,763681,292243,211037,0,54088,181,47558,158575,477412,241660,234163,1589
2009:Q2,Silent,21791412,23489895,5926273,1163599,3775725,3652491,844906,2131470,5995431,1698483,1246354,266273,185856
2009:Q2,BabyBoom,30095894,36498474,9579685,2056408,4691221,6612580,3490515,3388187,6679878,6402580,5134743,1043565,224272
2009:Q2,GenX,4241648,9163186,4136022,1111224,307080,825743,437049,672444,1673624,4921538,3849353,1003576,68609
2009:Q2,Millennial,262332,780859,302806,217284,0,62528,1218,21790,175233,518526,281123,235459,1944
2009:Q3,Silent,21922081,23587093,5732812,1150212,4200669,3638234,847683,2054516,5962967,1665011,1230365,256382,178264
2009:Q3,BabyBoom,31104126,37539156,9495178,2061840,5418226,6688723,3743268,3342755,6789166,6435030,5139605,1036638,258787
2009:Q3,GenX,4806128,9707172,4093095,1098676,739651,849415,633078,653860,1639398,4901044,3811229,1016570,73245
2009:Q3,Millennial,298103,821860,316322,220539,6279,71295,12311,17104,178010,523756,272228,249120,2408
2009:Q4,Silent,21581294,23212370,5613118,1132725,4195012,3620933,830578,1963429,5856575,1631076,1215419,246170,169487
2009:Q4,BabyBoom,31406517,37812430,9427913,2080927,5591211,6742644,3858185,3275971,6835580,6405913,5079004,1028755,298154
2009:Q4,GenX,4992771,9893562,4026425,1108894,852595,871998,725236,627270,1681144,4900791,3803533,1022233,75025
2009:Q4,Millennial,352821,922163,349812,237588,20692,81538,20504,9521,202508,569341,308797,257859,2685
2010:Q1,Silent,21576606,23177744,5504149,1113330,4297249,3620769,816329,1971242,5854676,1601138,1192528,230857,177753
2010:Q1,BabyBoom,32222842,38561262,9444215,2088825,5898559,6934216,3969815,3336060,6889572,6338420,4978127,999982,360311
2010:Q1,GenX,5264790,10120481,3982391,1102391,1028040,900680,819876,650492,1636611,4855692,3758180,1003929,93583
2010:Q1,Millennial,403301,1014762,383771,246257,43036,86601,29591,19085,206421,611461,346625,258289,6547
2010:Q2,Silent,21065552,22631242,5396478,1088594,3875608,3615710,776107,2055401,5823345,1565690,1175403,221271,169016
2010:Q2,BabyBoom,32311943,38567082,9453698,2093504,5528532,7131395,3862429,3500262,6997262,6255140,4874162,993871,387107
2010:Q2,GenX,5018507,9870103,3965681,1093529,860592,900197,741852,712249,1596003,4851597,3751987,1002371,97239
2010:Q2,Millennial,374740,1054951,418790,255284,25928,78309,24583,42525,209533,680211,411304,260940,7967
2010:Q3,Silent,21266014,22789034,5316748,1071454,4194151,3617624,770337,2078701,5740018,1523020,1156870,213084,153066
2010:Q3,BabyBoom,33566148,39777095,9416163,2102956,6112980,7385163,4080515,3586732,7092586,6210948,4818423,994497,398028
2010:Q3,GenX,5482823,10313415,3905565,1083817,1164570,902113,910324,742479,1604547,4830592,3716427,1020380,93785
2010:Q3,Millennial,444028,1167682,452114,262138,65181,66971,40581,55401,225296,723653,440035,275765,7853
2010:Q4,Silent,21495406,22984466,5187764,1055422,4496455,3565044,763979,2055511,5860292,1489060,1112892,221028,155140
2010:Q4,BabyBoom,34339465,40519784,9260650,2098736,6550730,7639993,4260597,3626513,7082565,6180320,4725466,1039824,415030
2010:Q4,GenX,6064285,10906969,3905309,1103918,1396068,940981,1048356,828651,1683686,4842684,3672659,1075218,94807
2010:Q4,Millennial,479667,1246637,467419,277427,89735,65775,52579,58025,235676,766970,446880,310741,9349
2011:Q1,Silent,21524506,22974001,5061608,1051380,4751646,3497566,758783,2007905,5845113,1449495,1080474,213632,155389
2011:Q1,BabyBoom,34867918,40955469,9057757,2102502,6937819,7773507,4362532,3634371,7086981,6087550,4626578,1019529,441443
2011:Q1,GenX,6557113,11421930,3900609,1124324,1603129,973992,1144372,904286,1771218,4864817,3706651,1066768,91398
2011:Q1,Millennial,470261,1316313,469988,290057,112521,70402,61962,55836,255547,846052,506423,328379,11250
2011:Q2,Silent,21413516,22824553,4997385,1038705,4703322,3429491,738698,1966622,5950329,1411036,1047266,212823,150947
2011:Q2,BabyBoom,35068224,41091796,8941416,2107160,6923051,7897782,4390609,3652315,7179463,6023572,4566781,1023877,432914
2011:Q2,GenX,6868440,11740871,3949235,1152182,1618682,1006344,1167050,985348,1862030,4872431,3714265,1069988,88178
2011:Q2,Millennial,495030,1384344,491028,311026,111027,75834,64289,54689,276451,889314,532356,346389,10569
2011:Q3,Silent,20728644,22105071,4896763,1044378,4032573,3355572,695019,1942015,6138751,1376427,1014920,211063,150444
2011:Q3,BabyBoom,34338951,40286012,8878784,2111532,6054684,7970623,4175193,3694976,7400220,5947061,4496508,1027887,422666
2011:Q3,GenX,6553442,11458411,4022995,1161142,1213447,1036045,982884,1077565,1964333,4904969,3727235,1086920,90814
2011:Q3,Millennial,377642,1334217,492895,313577,50063,84220,45940,57122,290401,956575,569730,376304,10541
2011:Q4,Silent,20831623,22176076,4828109,1030221,4232997,3291899,687803,1928132,6176915,1344453,983622,211298,149533
2011:Q4,BabyBoom,34963285,40864713,8756307,2109460,6373554,8118686,4319628,3754167,7432911,5901428,4459505,1037797,404126
2011:Q4,GenX,7097521,12024053,4028891,1177119,1392931,1069047,1103288,1177890,2074887,4926533,3728963,1102205,95365
2011:Q4,Millennial,430996,1428731,512660,327854,69114,89194,57757,62274,309878,997735,582849,404925,9961
2012:Q1,Silent,21061684,22366491,4763181,1013254,4669018,3231061,682354,1869177,6138446,1304807,950292,204968,149547
2012:Q1,BabyBoom,35875194,41661936,8611289,2112068,7032717,8283011,4548562,3749188,7325102,5786742,4341998,1021982,422762
2012:Q1,GenX,7816014,12745456,4027163,1202568,1738956,1102594,1290174,1255579,2128423,4929442,3742824,1093431,93187
2012:Q1,Millennial,469290,1558114,535275,351026,114118,93561,76938,56618,330578,1088824,652848,424660,11316
2012:Q2,Silent,20825525,22097052,4720517,1008453,4504209,3163404,662365,1857202,6180903,1271527,918809,204570,148148
2012:Q2,BabyBoom,35991955,41721012,8668148,2111560,6849472,8385733,4491324,3812430,7402344,5729057,4283662,1029398,415997
2012:Q2,GenX,8027681,12966144,4179168,1211278,1672588,1133009,1253976,1361192,2154933,4938462,3740378,1103736,94348
2012:Q2,Millennial,437599,1580353,554168,357673,97842,101460,73547,62606,333058,1142755,678982,452763,11010
2012:Q3,Silent,21060472,22302443,4708248,1001627,4713200,3101294,651447,1866988,6259639,1241971,890044,204407,147520
2012:Q3,BabyBoom,36794790,42536839,8755090,2110911,7200728,8524861,4616830,3908291,7420127,5742049,4286143,1036178,419728
2012:Q3,GenX,8688836,13631882,4309070,1221594,1868985,1164933,1365476,1480995,2220830,4943046,3728366,1120316,94364
2012:Q3,Millennial,528759,1690999,587375,366475,122259,107646,85997,75021,346226,1162240,661078,489551,11611
2012:Q4,Silent,20970226,22176059,4692032,995842,4718916,3038116,632841,1840774,6257538,1205833,858068,204208,143557
2012:Q4,BabyBoom,37403454,42970992,8810649,2114430,7259886,8646619,4655964,3951235,7532209,5567537,4125042,1049593,392902
2012:Q4,GenX,9111677,14094494,4409260,1237435,1924074,1195832,1400793,1582682,2344418,4982817,3751051,1137008,94758
2012:Q4,Millennial,483486,1788473,621936,379733,124438,115002,90102,78215,379047,1304987,772833,522096,10058
2013:Q1,Silent,21292675,22473091,4731227,982476,5190845,3007013,624637,1807294,6129600,1180416,834856,201201,144359
2013:Q1,BabyBoom,38559833,44298863,8976763,2114839,8012730,9019519,4825011,3982621,7367380,5739030,4295694,1033252,410084
2013:Q1,GenX,10056053,14983034,4550108,1256317,2314409,1238570,1557331,1682077,2384222,4926981,3704882,1127443,94656
