Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2009:Q1,ageunder40,2357715,6296630,2942240,961087,234226,351306,302962,497200,1007609,3938914,2940471,977484,20959
2009:Q2,age70plus,11507356,12153502,3371937,639822,1786561,1595054,156482,1050762,3552884,646146,444630,108637,92879
2009:Q2,age55to69,25360318,28719551,6730653,1442445,3854185,5865141,2254677,2623195,5949255,3359233,2633497,525517,200219
2009:Q2,age40to54,17175011,22854045,7020174,1524423,2803053,3339171,2026919,2122234,4018071,5679034,4562415,952772,163847
2009:Q2,ageunder40,2348602,6205316,2822022,941825,330227,353975,335609,417700,1003957,3856714,2871032,961947,23735
2009:Q3,age70plus,12014395,12667326,3316604,641830,2290177,1617873,193494,1047521,3559826,652930,450119,109155,93656
2009:Q3,age55to69,26313381,29693326,6664517,1445759,4506703,5968140,2474085,2577717,6056406,3379945,2641889,522145,215911
2009:Q3,age40to54,17456087,23143855,6940111,1526512,3137150,3304720,2197771,2050746,3986846,5687768,4549118,962566,176084
2009:Q3,ageunder40,2346576,6150774,2716175,917166,430795,356933,370989,392251,966465,3804198,2812302,964845,27051
2009:Q4,age70plus,12143852,12821928,3325948,662098,2413334,1636336,215269,1031987,3536955,678076,471576,110459,96041
2009:Q4,age55to69,26588893,29978507,6660304,1453043,4625675,6060276,2579226,2512681,6087303,3389614,2638608,516373,234633
2009:Q4,age40to54,17265980,22971546,6816811,1527517,3175975,3261938,2255499,1969965,3963841,5705566,4553281,967241,185044
2009:Q4,ageunder40,2334678,6068544,2614204,917474,444526,358562,384509,361558,987710,3733866,2743288,960945,29633
2010:Q1,age70plus,12478455,13184144,3329151,669342,2630957,1681894,237780,1087663,3547356,705689,492651,107537,105501
2010:Q1,age55to69,27304345,30685248,6700569,1454937,4875901,6232716,2686087,2570441,6164597,3380903,2612173,494526,274204
2010:Q1,age40to54,17324975,23017271,6758695,1524668,3280876,3259398,2312939,1949190,3931505,5692296,4524428,950995,216873
