Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1999:Q1,Black,1621995,601739,458425,143314,1020256,104038,6799,16708,10056,6653,1675,475,1201,112117,70735,38964,144479,437025,66866,20850,360036,358217,252578,102009,1437,2193,1818,1261959,11966454
1999:Q1,Hispanic,1148710,472188,368502,103686,676523,111289,16478,5521,4328,1193,3,0,3,83530,28477,35762,63683,231096,86256,14427,261545,260806,170074,82095,3110,5527,739,887166,7587758
1999:Q1,Other,1493928,564483,459396,105088,929445,105372,16854,15521,11014,4507,10323,4805,5518,206828,20872,23411,124851,167486,223856,14070,295530,294996,208612,63547,1613,21223,534,1198398,4505558
1999:Q2,White,40344845,11896159,9353301,2542858,28448687,2716604,930879,1547996,1035825,512170,617690,534202,83488,8693202,644793,683310,2414451,5847563,4053284,298916,5150686,5134784,3573574,1212443,32325,316442,15902,35194160,79217606
1999:Q2,Black,1668449,621732,469456,152276,1046717,103964,7448,16590,9675,6915,1091,0,1091,111915,71448,42393,154458,450911,66104,20394,378388,376583,262743,108686,1619,3534,1805,1290062,12044190
1999:Q2,Hispanic,1159638,478743,373693,105051,680894,106435,15478,5597,4243,1354,5,0,5,86344,28670,36467,68521,233713,85254,14411,272969,272238,178768,84783,2999,5688,731,886669,7673707
1999:Q2,Other,1533321,571695,467034,104661,961626,105372,17622,15315,10239,5076,9780,4255,5526,226190,21481,24720,126086,175556,225358,14146,296021,295483,208607,65669,1812,19396,538,1237301,4498682
1999:Q3,White,40391446,12196414,9611538,2584876,28195032,2744961,963174,1500902,1006202,494700,638227,552893,85334,8251308,648344,666876,2344699,5908208,4223570,304762,5275347,5259378,3670626,1238768,27681,322303,15969,35116098,79358043
1999:Q3,Black,1683496,638557,482835,155723,1044939,104744,7893,16444,9497,6948,992,0,992,104758,71212,41859,145155,463138,68201,20544,398530,396739,273610,117656,1365,4108,1791,1284966,12143913
1999:Q3,Hispanic,1167413,492278,384812,107466,675135,102681,14526,5668,4163,1505,6,0,6,82887,28397,35740,69063,235351,86260,14555,283153,282431,187586,87299,2336,5210,721,884260,7746660
1999:Q3,Other,1529881,576624,473986,102638,953257,106185,18747,14514,9851,4663,9466,3965,5502,212790,21489,24473,120451,181946,228830,14366,297184,296646,209437,68172,1579,17458,539,1232697,4485254
1999:Q4,White,42819740,12448932,9832898,2616035,30370808,2825550,1057433,1329132,1052784,276348,680958,593994,86963,9837221,695109,726909,2561813,6020755,4277931,357997,5422015,5405365,3747947,1266656,26681,364081,16650,37397725,79497647
1999:Q4,Black,1772256,659381,494613,164768,1112876,106327,8138,17471,9909,7562,2892,2001,891,111563,74350,50011,166728,482109,66374,26913,414832,412976,277349,128001,1362,6263,1856,1357424,12262930
1999:Q4,Hispanic,1194857,502693,394292,108401,692164,100010,13684,5354,4170,1184,8,0,8,91034,29334,37837,76097,238001,84094,16711,287699,286970,190567,88390,2023,5990,730,907158,7810469
