Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2014:Q3,SomeCollege,12949961,15807799,3876737,1110680,2099933,3364450,1474731,1299655,2581614,2857838,1863765,841820,152253
2014:Q3,HS,10646203,13016655,3550381,1022619,1177689,3235449,1172713,933738,1924067,2370452,1656393,648516,65543
2014:Q3,NoHS,2096982,2555850,929537,281660,150409,480141,202799,148022,363281,458868,308159,135927,14782
2014:Q4,College,56048972,63739097,13239261,2426050,16482696,7822930,5333706,6722361,11712092,7690125,5542592,1649020,498513
2014:Q4,SomeCollege,13100838,15966332,3913532,1120296,2118292,3423917,1495696,1313934,2580664,2865494,1860397,859655,145442
2014:Q4,HS,10590948,12933940,3539680,1007932,1202908,3162149,1171816,942215,1907240,2342992,1620112,656795,66085
2014:Q4,NoHS,2218923,2696088,953245,297481,163958,511964,230555,158413,380473,477165,318408,144070,14687
2015:Q1,College,57312901,65033007,13506428,2436621,16892241,7916237,5411833,6881010,11988637,7720107,5545328,1662129,512650
2015:Q1,SomeCollege,13282854,16132169,3965472,1129828,2108308,3480412,1511621,1320546,2615982,2849315,1846543,861967,140805
2015:Q1,HS,10538158,12823430,3525342,993640,1203111,3083577,1164938,943674,1909149,2285272,1580506,636875,67891
2015:Q1,NoHS,2344436,2834240,975421,312251,175800,543975,258460,168218,400115,489804,328560,146132,15112
2015:Q2,College,58014107,65834594,13841109,2469617,17027348,8002028,5413720,7129069,11951703,7820486,5590487,1697608,532391
2015:Q2,SomeCollege,13366403,16234513,4042559,1147578,2060485,3533492,1504635,1351465,2594299,2868110,1850875,881416,135819
2015:Q2,HS,10407980,12676891,3535704,988080,1172888,3000943,1142866,960083,1876327,2268911,1553923,644234,70754
2015:Q2,NoHS,2458651,2970106,997183,329811,185016,575742,285651,180288,416416,511455,341326,154483,15646
2015:Q3,College,57442042,65359572,14177607,2495084,15808852,8069905,5190066,7286428,12331631,7917530,5640672,1746426,530432
2015:Q3,SomeCollege,13230926,16117745,4125200,1154932,1827073,3578078,1421869,1357864,2652730,2886820,1856670,904276,125874
2015:Q3,HS,10072335,12321662,3523542,978269,1005544,2910942,1071951,959072,1872342,2249327,1527193,649844,72290
2015:Q3,NoHS,2550089,3081883,1028144,335411,180688,605903,308116,189968,433653,531795,353802,162520,15473
2015:Q4,College,58657724,66630509,14436953,2516410,16458300,8164143,5329694,7343946,12381063,7972785,5705818,1727218,539749
2015:Q4,SomeCollege,13422514,16295615,4185490,1163302,1853366,3635826,1462482,1337825,2657324,2873101,1866404,892808,113889
2015:Q4,HS,10019952,12218723,3503246,967297,1032116,2836007,1080978,940767,1858312,2198772,1498559,618999,81214
2015:Q4,NoHS,2674676,3216147,1054621,343616,194258,638098,337641,196777,451136,541470,365025,161205,15240
2016:Q1,College,59661005,67685926,14676986,2541301,16766094,8249211,5398058,7322350,12731925,8024921,5726473,1746870,551578
2016:Q1,SomeCollege,13548980,16410028,4229734,1178081,1833290,3689355,1477000,1297591,2704976,2861048,1860627,898532,101889
2016:Q1,HS,9911482,12068698,3484293,958898,1024696,2760397,1072899,910435,1857080,2157215,1469428,603755,84032
2016:Q1,NoHS,2782572,3336461,1070383,358963,204034,668564,364947,201025,468545,553889,375554,163078,15257
2016:Q2,College,60933865,69063123,15058368,2564986,17286172,8339624,5487927,7524719,12801326,8129258,5773628,1781141,574489
2016:Q2,SomeCollege,13751417,16626663,4317736,1196294,1842259,3744677,1501592,1316667,2707438,2875247,1866469,916954,91824
2016:Q2,HS,9882663,12025811,3528773,951502,1038255,2683758,1072561,918436,1832526,2143148,1450691,608987,83470
2016:Q2,NoHS,2897449,3470027,1091144,378942,215412,701395,392204,210607,480323,572578,387071,169711,15796
2016:Q3,College,62161845,70426714,15383950,2590981,17852571,8432050,5636245,7706116,12824802,8264870,5836270,1830046,598554
2016:Q3,SomeCollege,13973666,16870703,4430832,1199850,1857484,3801224,1544287,1330289,2706737,2897037,1876940,939842,80255
2016:Q3,HS,9883429,12015679,3565092,944821,1056750,2614044,1083843,923891,1827238,2132249,1433243,615674,83332
2016:Q3,NoHS,3002277,3591510,1122761,375539,226544,732416,419543,218919,495788,589234,396896,176027,16311
2016:Q4,College,62648563,70957100,15699142,2608755,18002353,8524524,5686927,7708655,12726744,8308536,5866123,1866398,576015
2016:Q4,SomeCollege,14152894,17084412,4519075,1210117,1889608,3848599,1541299,1335021,2740693,2931518,1887443,963982,80093
2016:Q4,HS,9855116,12000360,3549112,946590,1081281,2580010,1080036,926088,1837243,2145244,1441348,624597,79299
2016:Q4,NoHS,2961248,3556316,1135547,371265,227529,709638,401022,216371,494943,595068,397016,181461,16591
2017:Q1,College,64367829,72726081,15982261,2633397,18974782,8633531,5933692,7707897,12860521,8358252,5896093,1874741,587418
2017:Q1,SomeCollege,14580152,17531723,4612529,1226738,2033317,3903845,1608545,1338947,2807802,2951570,1896759,968229,86582
2017:Q1,HS,10053601,12184786,3580890,952935,1183387,2558366,1120686,929693,1858830,2131186,1448731,608525,73930
2017:Q1,NoHS,2936153,3527988,1143140,372132,236052,685848,385847,213003,491965,591835,394946,178929,17960
2017:Q2,College,65738243,74185195,16319952,2646462,19508370,8736985,6107335,8047284,12818808,8446952,5937866,1900770,608316
2017:Q2,SomeCollege,14991499,17977229,4738378,1236344,2119030,3955820,1650016,1432461,2845180,2985730,1910871,986638,88221
2017:Q2,HS,10217939,12371744,3632598,956537,1247434,2538995,1147557,987862,1860761,2153805,1461399,613754,78652
2017:Q2,NoHS,2888370,3481305,1148206,366726,239216,659472,367314,217787,482584,592936,392423,181547,18966
2017:Q3,College,66920687,75455138,16645578,2655303,20099784,8839680,6314292,8103919,12796582,8534451,5986189,1939776,608486
2017:Q3,SomeCollege,15329549,18357630,4856783,1242806,2213339,4006511,1701229,1451658,2885304,3028082,1927877,1007981,92224
2017:Q3,HS,10381557,12553212,3687570,960045,1319006,2523349,1181342,1003485,1878415,2171655,1479103,618337,74215
2017:Q3,NoHS,2835378,3427853,1155944,357999,242127,631395,348076,214546,477766,592476,389632,183090,19754
2017:Q4,College,68743795,77388632,16914608,2688706,21140270,8943757,6549123,8235842,12916326,8644837,6027976,1979609,637252
2017:Q4,SomeCollege,15770897,18843963,4953134,1256485,2370188,4056600,1761359,1490779,2955417,3073066,1941607,1033088,98371
2017:Q4,HS,10606276,12809213,3722909,972974,1434164,2511697,1221645,1032219,1913605,2202937,1497163,631675,74099
2017:Q4,NoHS,2774478,3367610,1155884,349470,248498,602214,328296,212650,470597,593132,385599,186413,21120
2018:Q1,College,69429881,78124899,17329112,2722143,21056653,9038159,6540036,8303509,13135288,8695018,6054506,1985058,655454
2018:Q1,SomeCollege,16038933,19121719,5081591,1273707,2371740,4100323,1738729,1512434,3043195,3082786,1946541,1034762,101483
2018:Q1,HS,10760417,12963676,3801261,987352,1447794,2498938,1217536,1052298,1958498,2203260,1508858,618410,75992
2018:Q1,NoHS,2711134,3293554,1157443,345679,243551,571344,303890,208669,462979,582420,378784,181647,21989
2018:Q2,College,70322277,79093144,17582986,2752537,21353686,9138768,6653375,8412984,13198808,8770867,6105852,2005305,659710
2018:Q2,SomeCollege,16329146,19436148,5183720,1287879,2425449,4145057,1755449,1544878,3093716,3107002,1960860,1048573,97569
2018:Q2,HS,10897978,13133622,3851429,1001387,1498445,2490923,1236877,1079973,1974588,2235644,1527498,622935,85211
2018:Q2,NoHS,2625502,3201542,1144061,339097,241679,540521,281228,205305,449651,576041,372641,181361,22039
2018:Q3,College,71840482,80714021,17858794,2774749,22228909,9247892,6863036,8487177,13253463,8873539,6164554,2048504,660481
2018:Q3,SomeCollege,16692024,19841016,5282641,1298394,2559047,4191529,1799810,1567183,3142412,3148992,1977607,1070924,100461
2018:Q3,HS,11124081,13390077,3919829,1013423,1604104,2487898,1272029,1103159,1989635,2265996,1550137,633097,82762
2018:Q3,NoHS,2548635,3119885,1139660,331150,244421,510216,259452,200785,434200,571250,366722,182040,22488
2018:Q4,College,68548763,77492526,17574205,2812332,19330698,9320661,6347394,8475727,13631510,8943763,6205999,2084118,653646
2018:Q4,SomeCollege,16183035,19352596,5233336,1309519,2167028,4217591,1607203,1565452,3252467,3169561,1986030,1092328,91203
2018:Q4,HS,10736930,13050969,3848021,1030380,1364840,2471396,1180185,1113906,2042241,2314039,1569919,647168,96952
2018:Q4,NoHS,2387038,2952018,1095283,319374,214274,477030,229049,194125,422882,564980,359671,183428,21881
2019:Q1,College,72575178,81525539,17547931,2844754,22161965,9466317,6858210,8591188,14055174,8950361,6225811,2089321,635229
2019:Q1,SomeCollege,16929365,20103961,5212862,1331702,2569619,4275754,1751716,1597128,3365180,3174596,1984194,1091681,98721
2019:Q1,HS,11255739,13559092,3859563,1047694,1651962,2484111,1273716,1144734,2097312,2303353,1585489,635737,82127
2019:Q1,NoHS,2328014,2879475,1059609,323782,233052,450035,212099,190199,410699,551461,351444,177731,22286
2019:Q2,College,74452764,83496983,18196165,2865785,22818229,9577940,7070741,8850724,14117400,9044220,6275109,2120719,648392
2019:Q2,SomeCollege,17407385,20611321,5410451,1341942,2668886,4315530,1798772,1666920,3408819,3203936,1995376,1108493,100067
2019:Q2,HS,11622918,13967953,4023930,1060594,1740815,2517089,1315319,1198039,2112167,2345035,1614304,645482,85249
2019:Q2,NoHS,2272472,2818786,1071513,318276,232815,423115,191852,189207,392008,546314,346175,177414,22725
2019:Q3,College,74735810,83882018,18202732,2901795,22652950,9687021,7154368,8937298,14345854,9146208,6333742,2165487,646979
2019:Q3,SomeCollege,17531098,20770167,5463728,1345176,2651772,4350076,1802092,1688295,3469028,3239069,2006989,1127482,104598
2019:Q3,HS,11721212,14095217,4019369,1076517,1754499,2548131,1334143,1224701,2137858,2374005,1640925,654430,78650
