Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1992:Q4,NoHS,2136229,869858,674068,195790,1266371,348794,11233,48298,42868,5430,11428,7057,4371,108983,30148,29736,19264,438036,194867,25584,215137,214078,141790,66516,228,5544,1059,1921092,19387702
1993:Q1,College,14603152,4635265,3641940,993326,9967887,1247613,298827,884842,690737,194104,277075,224649,52425,2224235,224480,232290,686807,2027152,1738225,126342,1947805,1940023,1464824,347593,2225,125381,7782,12655347,26159421
1993:Q1,SomeCollege,5807111,2155875,1653440,502435,3651236,546424,73091,197784,159529,38255,118345,66811,51534,637813,101693,94577,158049,1027022,632866,63572,907961,904381,680154,194883,620,28724,3580,4899150,21827246
1993:Q1,HS,5667348,2195492,1699219,496274,3471856,670531,45619,125273,100982,24291,59056,36788,22268,471357,107207,128368,164046,1137287,496854,66257,792328,788572,567555,200047,697,20272,3756,4875020,29145691
1993:Q1,NoHS,2178290,890086,675507,214579,1288204,339334,11030,52658,46558,6100,11348,6159,5189,110530,32122,31905,22080,451153,199926,26118,214091,212982,142171,64739,374,5698,1110,1964199,19275288
1993:Q2,College,14683165,4655593,3662831,992762,10027572,1243661,288905,861916,651708,210207,304916,253726,51190,2254619,227158,237305,690910,2035881,1755913,126388,1958221,1950447,1477429,345114,1983,125920,7774,12724944,25991860
1993:Q2,SomeCollege,5911691,2208394,1691438,516955,3703297,551511,72847,193931,151620,42310,112431,63481,48951,660144,103410,95341,167558,1042849,638849,64426,931925,928321,696445,203294,644,27939,3604,4979766,22133837
1993:Q2,HS,5791495,2249328,1735561,513766,3542167,669085,47130,129238,102490,26748,55290,32094,23196,483231,110012,133677,173898,1170197,502791,67617,818439,814630,588772,203999,650,21209,3808,4973056,29355912
1993:Q2,NoHS,2215300,903219,690256,212962,1312081,333840,10422,56431,49955,6476,11394,5406,5988,110867,34135,34099,24608,464516,205173,26595,218998,217837,145700,66255,341,5540,1161,1996302,19173425
1993:Q3,College,14848988,4677628,3684362,993266,10171361,1246635,283488,845947,615624,230323,309690,259745,49945,2362295,229968,243701,698321,2043981,1780525,126810,1974927,1967166,1483777,347009,2249,134131,7761,12874061,25801520
1993:Q3,SomeCollege,6041610,2259006,1727661,531345,3782604,558818,73494,192592,144449,48143,105159,58854,46305,699285,105259,97154,178354,1059518,647441,65530,959491,955863,711844,214591,830,28597,3629,5082119,22441389
1993:Q3,HS,5949396,2307534,1775262,532272,3641861,670327,49108,133914,103798,30116,54865,30698,24167,509830,113041,140286,184780,1205009,511312,69390,851819,847954,612760,211947,789,22459,3865,5097577,29581742
1993:Q3,NoHS,2258150,917919,708735,209185,1340231,329302,9974,59654,52716,6937,11392,4616,6776,113546,36170,36493,27112,478222,211137,27229,226713,225500,150151,69121,393,5833,1213,2031438,19079750
1993:Q4,College,15023606,4684339,3693424,990914,10339267,1239586,287316,871350,609909,261441,321043,272315,48728,2467766,232740,246307,698565,2048863,1799354,126375,1992152,1984404,1488114,353922,2214,140154,7748,13031454,25598207
1993:Q4,SomeCollege,6175861,2307254,1759308,547946,3868608,563483,76042,204159,145136,59023,99120,55531,43589,739484,107166,96671,187004,1075157,654079,66243,989222,985569,725701,230071,934,28863,3653,5186639,22747206
1993:Q4,HS,6120857,2380102,1830065,550038,3740755,668991,52100,145149,109181,35969,53871,28691,25180,537172,116208,144481,193979,1239460,518725,70619,888854,884929,632824,227600,824,23682,3925,5232003,29818768
1993:Q4,NoHS,2304418,937295,723945,213351,1367123,324055,9825,63144,55521,7623,11552,3980,7572,116266,38211,38409,29449,491605,216985,27620,235284,234018,153037,74576,397,6008,1265,2069134,18991897
1994:Q1,College,14930123,4647193,3671249,975945,10282929,1223665,294207,913641,638801,274839,331945,284318,47627,2337433,233291,248317,690705,2054169,1829105,126451,1982675,1974932,1484008,346665,2980,141279,7743,12947448,25391727
1994:Q1,SomeCollege,6247787,2341017,1777291,563726,3906770,565467,79284,217978,155089,62889,93476,52668,40808,730671,108526,95821,192944,1091161,664226,67215,1005764,1002086,736469,236029,1394,28194,3678,5242023,23048592
1994:Q1,HS,6256086,2456567,1895125,561442,3799519,665056,55522,158596,120257,38339,53165,26936,26229,521994,118787,148387,201029,1275273,529425,72285,910170,906180,653327,226871,1216,24767,3989,5345917,30062579
1994:Q1,NoHS,2351629,963749,738704,225045,1387880,318110,9771,66839,58934,7905,11850,3420,8430,112402,40120,40234,31573,505153,223649,28180,238221,236902,156150,74311,537,5904,1319,2113409,18907502
1994:Q2,College,14916837,4644641,3671882,972759,10272196,1196947,286669,963227,674861,288367,334399,287889,46510,2260453,234320,248185,698023,2058494,1865273,126206,1996017,1988272,1491453,350107,3825,142887,7745,12920820,25191884
1994:Q2,SomeCollege,6345169,2390944,1811173,579771,3954225,563825,79497,234147,167275,66872,87338,49424,37914,731673,109980,93520,203923,1106201,676129,67991,1034469,1030767,751292,249919,1972,27584,3702,5310700,23342850
1994:Q2,HS,6397285,2527944,1949347,578597,3869341,657544,57416,174031,133238,40793,53518,26201,27317,515919,121549,150761,212090,1310827,541976,73711,945136,941079,673620,239850,1720,25889,4057,5452149,30308761
1994:Q2,NoHS,2395145,986548,758061,228487,1408597,311180,9276,70629,62450,8179,12124,2879,9245,109962,42036,41737,33872,518386,230766,28629,245346,243974,158751,78704,690,5828,1372,2149799,18824201
1994:Q3,College,15036614,4653144,3676436,976707,10383471,1200010,290806,969212,672749,296463,339118,293673,45446,2293357,242003,250957,714332,2065252,1891644,126779,2009131,2001384,1499026,355589,3917,142853,7747,13027483,25008484
1994:Q3,SomeCollege,6468313,2442213,1846949,595265,4026099,570297,82135,237122,168883,68239,81608,46696,34912,756458,113137,92986,218012,1121594,683614,69136,1063951,1060228,765945,265406,2267,26609,3723,5404362,23627285
