"Year","Group","Unit","Inflation Deflator","Real Total Wealth","Real Wealth Share","Real Wealth Per Unit Growth","Real Wealth Per Unit","Real Wealth Threshold"
"2004","Middle 40%","adult_equal_split","0.5947583558333333","65472.17274834039","Infinity","0.6755413635224587","0.0007721196326449281","65472.17274834039"
"2005","Middle 40%","adult_equal_split","0.6134221400000001","71089.97114442544","Infinity","0.7981250625887845","0.0008286084086023108","71089.97114442544"
"2006","Middle 40%","adult_equal_split","0.6323604541666666","72211.44587813156","Infinity","0.8054368584032594","0.0008319778157808831","72211.44587813156"
"2007","Middle 40%","adult_equal_split","0.6494840783333333","67831.39259195888","Infinity","0.6770380877628704","0.000772809350127192","67831.39259195888"
"2008","Middle 40%","adult_equal_split","0.6620513458333332","53056.13115117536","Infinity","0.29699085820053794","0.0005976767430392394","53056.13115117536"
"2009","Middle 40%","adult_equal_split","0.6661056825","43068.79040217607","Infinity","0.040682534179572655","0.0004795652518547651","43068.79040217607"
"2010","Middle 40%","adult_equal_split","0.6741785699999999","43558.4783882855","Infinity","0.04023970421131225","0.00047936118783112406","43558.4783882855"
"2011","Middle 40%","adult_equal_split","0.6880922216666666","40857.95162805326","Infinity","-0.03561999198359047","0.00044440367378000706","40857.95162805326"
"2012","Middle 40%","adult_equal_split","0.7009189958333333","40454.504148201806","Infinity","-0.05585087257595646","0.0004350809196951888","40454.504148201806"
"2013","Middle 40%","adult_equal_split","0.7128318458333333","47721.50796349208","Infinity","0.10205771036564286","0.0005078480382556221","47721.50796349208"
"2014","Middle 40%","adult_equal_split","0.7252373741666668","53406.811320810084","Infinity","0.22044780248743834","0.0005624043246165315","53406.811320810084"
"2015","Middle 40%","adult_equal_split","0.7319920558333335","55915.39792846307","Infinity","0.26509154052177153","0.0005829769630254691","55915.39792846307"
"2016","Middle 40%","adult_equal_split","0.7389366733333333","59597.673826700135","Infinity","0.33583831987173196","0.0006155783529235173","59597.673826700135"
"2017","Middle 40%","adult_equal_split","0.7521545733333332","63599.232231091904","Infinity","0.4136470752327642","0.0006514340285360962","63599.232231091904"
"2018","Middle 40%","adult_equal_split","0.7694004483333333","62820.985639677725","Infinity","0.38576178952995976","0.0006385839867395843","62820.985639677725"
"2019","Middle 40%","adult_equal_split","0.78208808","60428.561662032815","Infinity","0.32312975614772854","0.0006097220179098633","60428.561662032815"
"2020","Middle 40%","adult_equal_split","0.7925247358333332","69315.63617173019","Infinity","0.5096046705435074","0.0006956530164129829","69315.63617173019"
"2021","Middle 40%","adult_equal_split","0.8285885716666668","86675.03693265695","Infinity","0.8760685848612662","0.0008645261872345027","86675.03693265695"
"2022","Middle 40%","adult_equal_split","0.8876788958333334","85778.21232780883","Infinity","0.8397871556226443","0.0008478070513030177","85778.21232780883"
"2023","Middle 40%","adult_equal_split","0.9205459508333332","86298.37743779708","Infinity","0.828894044781481","0.0008427873096695687","86298.37743779708"
"2024","Middle 40%","adult_equal_split","0.9434125925000001","94208.05917551403","Infinity","0.9745184049317401","0.0009098936371594443","94208.05917551403"
"2025","Middle 40%","adult_equal_split","0.9701003483333334","97519.17866133379","Infinity","1.0328240631483112","0.0009367619344055696","97519.17866133379"
"1976","Top 0.0001%-0.00001%","adult_equal_split","0.2205916391666667","267527868.52756703","Infinity","0","2066946.699042603","267527868.52756703"
"1977","Top 0.0001%-0.00001%","adult_equal_split","0.23426649666666668","263563086.69573128","Infinity","-0.03485620633289912","1994900.7784216693","263563086.69573128"
"1978","Top 0.0001%-0.00001%","adult_equal_split","0.2506924841666667","254169602.89196643","Infinity","-0.08821655707313796","1884607.777599377","254169602.89196643"
"1979","Top 0.0001%-0.00001%","adult_equal_split","0.2715846258333333","295863521.000339","Infinity","0.04009858057638979","2149828.3278012658","295863521.000339"
"1980","Top 0.0001%-0.00001%","adult_equal_split","0.29615686333333335","324281577.1169929","Infinity","0.1180162447133715","2310879.98648631","324281577.1169929"
"1981","Top 0.0001%-0.00001%","adult_equal_split","0.3241760308333333","349826892.54693204","Infinity","0.18474029369190376","2448795.0392692443","349826892.54693204"
"1982","Top 0.0001%-0.00001%","adult_equal_split","0.34419751083333333","433276547.1490073","Infinity","0.4434661365682581","2983567.56615954","433276547.1490073"
"1983","Top 0.0001%-0.00001%","adult_equal_split","0.3575996975","520500589.6866825","Infinity","0.7071708395080535","3528631.13142296","520500589.6866825"
"1984","Top 0.0001%-0.00001%","adult_equal_split","0.370541155","556307954.6408486","Infinity","0.7983713944333715","3717137.8173766998","556307954.6408486"
"1985","Top 0.0001%-0.00001%","adult_equal_split","0.38227347750000007","604904712.7323278","Infinity","0.9299150555119706","3989031.5534230894","604904712.7323278"
"1986","Top 0.0001%-0.00001%","adult_equal_split","0.38998908250000003","643683211.9782155","Infinity","1.0289154165258156","4193660.0228246828","643683211.9782155"
"1987","Top 0.0001%-0.00001%","adult_equal_split","0.39962277416666664","753322433.6752363","Infinity","1.3485376028786797","4854302.045847515","753322433.6752363"
"1988","Top 0.0001%-0.00001%","adult_equal_split","0.41371134000000004","788385343.9423007","Infinity","1.431891256975104","5026589.606035258","788385343.9423007"
"1989","Top 0.0001%-0.00001%","adult_equal_split","0.4299605808333333","891494892.8676807","Infinity","1.7190172672609076","5620063.765204771","891494892.8676807"
"1990","Top 0.0001%-0.00001%","adult_equal_split","0.4460894508333333","896077696.5651197","Infinity","1.6947658917650312","5569937.464676328","896077696.5651197"
"1991","Top 0.0001%-0.00001%","adult_equal_split","0.4611464708333333","920916523.4360518","Infinity","1.7281340801944942","5638907.731603637","920916523.4360518"
"1992","Top 0.0001%-0.00001%","adult_equal_split","0.4716432899999999","902299583.9959282","Infinity","1.6367301747270124","5449980.730918024","902299583.9959282"
"1993","Top 0.0001%-0.00001%","adult_equal_split","0.4828321675","916790018.0320212","Infinity","1.6476498279899403","5472551.072184522","916790018.0320212"
"1994","Top 0.0001%-0.00001%","adult_equal_split","0.4931371908333333","901467377.2865925","Infinity","1.573912728974675","5320140.418777943","901467377.2865925"
"1995","Top 0.0001%-0.00001%","adult_equal_split","0.5034911341666667","975929580.1744293","Infinity","1.754866550586957","5694162.323038593","975929580.1744293"
"1996","Top 0.0001%-0.00001%","adult_equal_split","0.5126960858333333","1167980441.575449","Infinity","2.258786250540087","6735737.483439254","1167980441.575449"
"1997","Top 0.0001%-0.00001%","adult_equal_split","0.5215437408333333","1437927622.2243378","Infinity","2.9625106459459984","8190298.299559253","1437927622.2243378"
"1998","Top 0.0001%-0.00001%","adult_equal_split","0.5274014283333334","1720703783.048865","Infinity","3.6846884260664767","9683001.27830119","1720703783.048865"
"1999","Top 0.0001%-0.00001%","adult_equal_split","0.5348575258333333","2219645959.4057083","Infinity","4.9659354591632825","12331270.604018763","2219645959.4057083"
"2000","Top 0.0001%-0.00001%","adult_equal_split","0.5469791041666666","2299973970.98328","Infinity","5.104592785702703","12617867.90740749","2299973970.98328"
"2001","Top 0.0001%-0.00001%","adult_equal_split","0.5593263266666667","1873270038.8480637","Infinity","3.912485930541915","10153846.57822684","1873270038.8480637"
"2002","Top 0.0001%-0.00001%","adult_equal_split","0.5680085091666668","1681794362.1772687","Infinity","3.3612596352879685","9014491.206826212","1681794362.1772687"
"2003","Top 0.0001%-0.00001%","adult_equal_split","0.5791860916666667","1686935544.505968","Infinity","3.327155458641437","8943999.691483099","1686935544.505968"
"2004","Top 0.0001%-0.00001%","adult_equal_split","0.5947583558333333","1816552166.4233034","Infinity","3.606424106659791","9521233.101650726","1816552166.4233034"
"2005","Top 0.0001%-0.00001%","adult_equal_split","0.6134221400000001","1956663963.606327","Infinity","3.9039434014684264","10136189.625956917","1956663963.606327"
"2006","Top 0.0001%-0.00001%","adult_equal_split","0.6323604541666666","2129069307.5433502","Infinity","4.274529297607547","10902170.92069342","2129069307.5433502"
"2007","Top 0.0001%-0.00001%","adult_equal_split","0.6494840783333333","2484666708.456787","Infinity","5.086925411718126","12581350.387069318","2484666708.456787"
"2008","Top 0.0001%-0.00001%","adult_equal_split","0.6620513458333332","2448468950.3281913","Infinity","4.93080416773798","12258656.09717413","2448468950.3281913"
"2009","Top 0.0001%-0.00001%","adult_equal_split","0.6661056825","2069856168.1888645","Infinity","3.9557958226881835","10243365.816834461","2069856168.1888645"
"2010","Top 0.0001%-0.00001%","adult_equal_split","0.6741785699999999","2167883109.5275874","Infinity","4.129963010250148","10603360.110247198","2167883109.5275874"
"2011","Top 0.0001%-0.00001%","adult_equal_split","0.6880922216666666","2207990149.719955","Infinity","4.164001818700918","10673716.51301386","2207990149.719955"
"2012","Top 0.0001%-0.00001%","adult_equal_split","0.7009189958333333","2352700135.4148426","Infinity","4.440739560067353","11245718.67403172","2352700135.4148426"
"2013","Top 0.0001%-0.00001%","adult_equal_split","0.7128318458333333","2659257602.596743","Infinity","5.085107214014453","12577592.269327503","2659257602.596743"
"2014","Top 0.0001%-0.00001%","adult_equal_split","0.7252373741666668","2801203004.136381","Infinity","5.342855102298136","13110343.416200664","2801203004.136381"
"2015","Top 0.0001%-0.00001%","adult_equal_split","0.7319920558333335","3042977302.4638495","Infinity","5.821924221038845","14100553.749795021","3042977302.4638495"
"2016","Top 0.0001%-0.00001%","adult_equal_split","0.7389366733333333","3067190136.1695237","Infinity","5.812130098439889","14080309.820419088","3067190136.1695237"
"2017","Top 0.0001%-0.00001%","adult_equal_split","0.7521545733333332","3277004719.4900527","Infinity","6.217450917643421","14918086.349725073","3277004719.4900527"
"2018","Top 0.0001%-0.00001%","adult_equal_split","0.7694004483333333","3397002877.8913283","Infinity","6.425016054521685","15347112.424231928","3397002877.8913283"
"2019","Top 0.0001%-0.00001%","adult_equal_split","0.78208808","3443702978.558336","Infinity","6.47142621270575","15443039.747492526","3443702978.558336"
"2020","Top 0.0001%-0.00001%","adult_equal_split","0.7925247358333332","3408085785.63932","Infinity","6.3546190351311145","15201605.53738015","3408085785.63932"
"2021","Top 0.0001%-0.00001%","adult_equal_split","0.8285885716666668","4089347656.799395","Infinity","7.770540447164964","18128239.626087256","4089347656.799395"
"2022","Top 0.0001%-0.00001%","adult_equal_split","0.8876788958333334","3741835372.0730395","Infinity","6.9523029000346215","16436986.22901348","3741835372.0730395"
"2023","Top 0.0001%-0.00001%","adult_equal_split","0.9205459508333332","3868432873.392572","Infinity","7.123414744194218","16790665.29046625","3868432873.392572"
"2024","Top 0.0001%-0.00001%","adult_equal_split","0.9434125925000001","4352926300.066291","Infinity","8.040076170124188","18685355.598931886","4352926300.066291"
"2025","Top 0.0001%-0.00001%","adult_equal_split","0.9701003483333334","4767640614.31574","Infinity","8.847611686318393","20354488.468489163","4767640614.31574"
"1976","Top 0.001%-0.0001%","adult_equal_split","0.2205916391666667","57762780.68501558","Infinity","0","44628.09408288323","57762780.68501558"
"1977","Top 0.001%-0.0001%","adult_equal_split","0.23426649666666668","57360992.759389915","Infinity","-0.027151902619633007","43416.35641824497","57360992.759389915"
"1978","Top 0.001%-0.0001%","adult_equal_split","0.2506924841666667","58048106.124450535","Infinity","-0.035555848677517474","43041.304322906224","58048106.124450535"
"1979","Top 0.001%-0.0001%","adult_equal_split","0.2715846258333333","65737697.58127869","Infinity","0.07033199788627244","47766.87710158894","65737697.58127869"
"1980","Top 0.001%-0.0001%","adult_equal_split","0.29615686333333335","72382653.30357338","Infinity","0.15579623048281405","51580.98291462881","72382653.30357338"
"1981","Top 0.001%-0.0001%","adult_equal_split","0.3241760308333333","77645681.90999009","Infinity","0.21789041618468802","54352.12807613207","77645681.90999009"
"1982","Top 0.001%-0.0001%","adult_equal_split","0.34419751083333333","79916876.53334333","Infinity","0.23310726735456172","55031.22714178643","79916876.53334333"
"1983","Top 0.001%-0.0001%","adult_equal_split","0.3575996975","91196163.86166291","Infinity","0.38533008487128856","61824.64136348448","91196163.86166291"
"1984","Top 0.001%-0.0001%","adult_equal_split","0.370541155","95745748.68175988","Infinity","0.4335226289562948","63975.38275500364","95745748.68175988"
"1985","Top 0.001%-0.0001%","adult_equal_split","0.38227347750000007","99227601.43532221","Infinity","0.46623862923183224","65435.435493315956","99227601.43532221"
"1986","Top 0.001%-0.0001%","adult_equal_split","0.38998908250000003","111358154.06234623","Infinity","0.6256787184502903","72550.9427955406","111358154.06234623"
"1987","Top 0.001%-0.0001%","adult_equal_split","0.39962277416666664","135266045.49340805","Infinity","0.953108402962383","87163.50556147505","135266045.49340805"
"1988","Top 0.001%-0.0001%","adult_equal_split","0.41371134000000004","164285012.03545108","Infinity","1.3470616140275524","104744.88652914538","164285012.03545108"
"1989","Top 0.001%-0.0001%","adult_equal_split","0.4299605808333333","183284101.98345315","Infinity","1.589040473026417","115543.94181461545","183284101.98345315"
"1990","Top 0.001%-0.0001%","adult_equal_split","0.4460894508333333","180540584.14599645","Infinity","1.5146129902424703","112222.38511058131","180540584.14599645"
"1991","Top 0.001%-0.0001%","adult_equal_split","0.4611464708333333","180030411.89401087","Infinity","1.4700870466110216","110235.27710906786","180030411.89401087"
"1992","Top 0.001%-0.0001%","adult_equal_split","0.4716432899999999","184118751.9394653","Infinity","1.4919188311275025","111209.5880424666","184118751.9394653"
"1993","Top 0.001%-0.0001%","adult_equal_split","0.4828321675","197778513.39324495","Infinity","1.6453961394615915","118058.98779838799","197778513.39324495"
"1994","Top 0.001%-0.0001%","adult_equal_split","0.4931371908333333","198094408.00403938","Infinity","1.6196119102205528","116908.2867899643","198094408.00403938"
"1995","Top 0.001%-0.0001%","adult_equal_split","0.5034911341666667","208030262.58615348","Infinity","1.719753467512956","121377.4136304161","208030262.58615348"
"1996","Top 0.001%-0.0001%","adult_equal_split","0.5126960858333333","246457167.19086763","Infinity","2.1848038881186858","142131.72755449303","246457167.19086763"
"1997","Top 0.001%-0.0001%","adult_equal_split","0.5215437408333333","272709794.73525286","Infinity","2.4806078037260693","155332.89253030458","272709794.73525286"
"1998","Top 0.001%-0.0001%","adult_equal_split","0.5274014283333334","320485826.3233079","Infinity","3.04114434339189","180348.56995940465","320485826.3233079"
"1999","Top 0.001%-0.0001%","adult_equal_split","0.5348575258333333","344193577.7905008","Infinity","3.284681480157502","191217.1682116564","344193577.7905008"
"2000","Top 0.001%-0.0001%","adult_equal_split","0.5469791041666666","381302626.072066","Infinity","3.6873190107733635","209186.11380928085","381302626.072066"
"2001","Top 0.001%-0.0001%","adult_equal_split","0.5593263266666667","369119409.56562996","Infinity","3.4832065954856386","200076.96573633573","369119409.56562996"
"2002","Top 0.001%-0.0001%","adult_equal_split","0.5680085091666668","360889110.68338805","Infinity","3.334447681652529","193438.13893412417","360889110.68338805"
"2003","Top 0.001%-0.0001%","adult_equal_split","0.5791860916666667","362729299.5571348","Infinity","3.309308477529557","192316.22416735537","362729299.5571348"
"2004","Top 0.001%-0.0001%","adult_equal_split","0.5947583558333333","414970913.3584451","Infinity","3.8736534023633222","217501.8625680343","414970913.3584451"
"2005","Top 0.001%-0.0001%","adult_equal_split","0.6134221400000001","429872768.8371053","Infinity","3.9898796932203515","222688.82041130637","429872768.8371053"
"2006","Top 0.001%-0.0001%","adult_equal_split","0.6323604541666666","470025751.1729405","Infinity","4.393075490227472","240682.6803739632","470025751.1729405"
"2007","Top 0.001%-0.0001%","adult_equal_split","0.6494840783333333","493900794.4962532","Infinity","4.603901606249775","250091.44811493543","493900794.4962532"
"2008","Top 0.001%-0.0001%","adult_equal_split","0.6620513458333332","484584073.61427283","Infinity","4.436370624479739","242614.85969870447","484584073.61427283"
"2009","Top 0.001%-0.0001%","adult_equal_split","0.6661056825","434267095.3587573","Infinity","3.815607684232595","214911.3927981877","434267095.3587573"
"2010","Top 0.001%-0.0001%","adult_equal_split","0.6741785699999999","433223691.09057647","Infinity","3.7480087180155506","211894.5797739478","433223691.09057647"
"2011","Top 0.001%-0.0001%","adult_equal_split","0.6880922216666666","500666524.7362766","Infinity","4.423239040908134","242028.82215161368","500666524.7362766"
"2012","Top 0.001%-0.0001%","adult_equal_split","0.7009189958333333","514996965.3329969","Infinity","4.515907408239025","246164.43476736377","514996965.3329969"
"2013","Top 0.001%-0.0001%","adult_equal_split","0.7128318458333333","556233696.7610883","Infinity","4.895030514576351","263083.9764259809","556233696.7610883"
"2014","Top 0.001%-0.0001%","adult_equal_split","0.7252373741666668","646985676.8214167","Infinity","5.7850930937069","302805.77294707275","646985676.8214167"
"2015","Top 0.001%-0.0001%","adult_equal_split","0.7319920558333335","697012564.8015782","Infinity","6.237185801527465","322981.80884587445","697012564.8015782"
"2016","Top 0.001%-0.0001%","adult_equal_split","0.7389366733333333","746943495.6073767","Infinity","6.68335539406816","342893.5073987022","746943495.6073767"
"2017","Top 0.001%-0.0001%","adult_equal_split","0.7521545733333332","753502415.6592547","Infinity","6.686211997109501","343020.99214798864","753502415.6592547"
"2018","Top 0.001%-0.0001%","adult_equal_split","0.7694004483333333","734669048.3272052","Infinity","6.437280529747466","331911.65520236554","734669048.3272052"
"2019","Top 0.001%-0.0001%","adult_equal_split","0.78208808","772807243.40742","Infinity","6.765509351647199","346559.88194682077","772807243.40742"
"2020","Top 0.001%-0.0001%","adult_equal_split","0.7925247358333332","805890152.4991566","Infinity","7.054645851404687","359463.4928607934","805890152.4991566"
"2021","Top 0.001%-0.0001%","adult_equal_split","0.8285885716666668","1025843126.6815618","Infinity","9.190000667396811","454760.3084892278","1025843126.6815618"
"2022","Top 0.001%-0.0001%","adult_equal_split","0.8876788958333334","1039517753.4303321","Infinity","9.232013066102002","456635.24177129066","1039517753.4303321"
"2023","Top 0.001%-0.0001%","adult_equal_split","0.9205459508333332","1022196521.0028076","Infinity","8.941659801445459","443677.32895892614","1022196521.0028076"
"2024","Top 0.001%-0.0001%","adult_equal_split","0.9434125925000001","1044695285.4191356","Infinity","9.048502571208576","448445.5181399904","1044695285.4191356"
"2025","Top 0.001%-0.0001%","adult_equal_split","0.9701003483333334","1029183607.5904862","Infinity","8.845577659518268","439389.3660893146","1029183607.5904862"
"1976","Top 0.01%-0.001%","adult_equal_split","0.2205916391666667","15284056.257251492","Infinity","0","1180.8612613998428","15284056.257251492"
"1977","Top 0.01%-0.001%","adult_equal_split","0.23426649666666668","15408392.280972565","Infinity","-0.012367971149593586","1166.2564033871768","15408392.280972565"
"1978","Top 0.01%-0.001%","adult_equal_split","0.2506924841666667","15554516.413426876","Infinity","-0.02331390089907515","1153.33077897601","15554516.413426876"
"1979","Top 0.01%-0.001%","adult_equal_split","0.2715846258333333","16932824.005848557","Infinity","0.04194040250415739","1230.3870580045193","16932824.005848557"
"1980","Top 0.01%-0.001%","adult_equal_split","0.29615686333333335","18699412.441069264","Infinity","0.12845488235455904","1332.5486558100158","18699412.441069264"
"1981","Top 0.01%-0.001%","adult_equal_split","0.3241760308333333","20137127.883729164","Infinity","0.19370742974098845","1409.6028612263078","20137127.883729164"
"1982","Top 0.01%-0.001%","adult_equal_split","0.34419751083333333","20905737.94554675","Infinity","0.2190943603825434","1439.5813041667648","20905737.94554675"
"1983","Top 0.01%-0.001%","adult_equal_split","0.3575996975","23486781.963752408","Infinity","0.34837184624454975","1592.2400791923737","23486781.963752408"
"1984","Top 0.01%-0.001%","adult_equal_split","0.370541155","23440388.487984996","Infinity","0.3263536075046946","1566.2395940202257","23440388.487984996"
"1985","Top 0.01%-0.001%","adult_equal_split","0.38227347750000007","26676237.657127574","Infinity","0.48972534232176174","1759.1589468733882","26676237.657127574"
"1986","Top 0.01%-0.001%","adult_equal_split","0.38998908250000003","29437694.84052598","Infinity","0.6241493421790171","1917.8950409072388","29437694.84052598"
"1987","Top 0.01%-0.001%","adult_equal_split","0.39962277416666664","33095970.39725104","Infinity","0.8060182669575383","2132.6570088306366","33095970.39725104"
"1988","Top 0.01%-0.001%","adult_equal_split","0.41371134000000004","39650054.76327909","Infinity","1.1408182706285026","2528.0093634822038","39650054.76327909"
"1989","Top 0.01%-0.001%","adult_equal_split","0.4299605808333333","43074796.47908223","Infinity","1.299570570857785","2715.473804981081","43074796.47908223"
"1990","Top 0.01%-0.001%","adult_equal_split","0.4460894508333333","42066150.891971014","Infinity","1.214310661435869","2614.79368079428","42066150.891971014"
"1991","Top 0.01%-0.001%","adult_equal_split","0.4611464708333333","41969668.34237536","Infinity","1.17626303151842","2569.864708536687","41969668.34237536"
"1992","Top 0.01%-0.001%","adult_equal_split","0.4716432899999999","43035463.90845562","Infinity","1.2012624378112653","2599.3855389859036","43035463.90845562"
"1993","Top 0.01%-0.001%","adult_equal_split","0.4828321675","46477793.708225556","Infinity","1.3494519939429386","2774.3768451658343","46477793.708225556"
"1994","Top 0.01%-0.001%","adult_equal_split","0.4931371908333333","46393318.893510886","Infinity","1.3186203692843173","2737.9689739804485","46393318.893510886"
"1995","Top 0.01%-0.001%","adult_equal_split","0.5034911341666667","47942343.41074547","Infinity","1.3688182734898207","2797.2457344601876","47942343.41074547"
"1996","Top 0.01%-0.001%","adult_equal_split","0.5126960858333333","52316798.8606867","Infinity","1.5550056771157932","3017.107226762715","52316798.8606867"
"1997","Top 0.01%-0.001%","adult_equal_split","0.5215437408333333","58846169.33511001","Infinity","1.8384550073113513","3351.821560360382","58846169.33511001"
"1998","Top 0.01%-0.001%","adult_equal_split","0.5274014283333334","68139299.99745575","Infinity","2.247152367747731","3834.436440936072","68139299.99745575"
"1999","Top 0.01%-0.001%","adult_equal_split","0.5348575258333333","71590263.05203354","Infinity","2.368055211797066","3977.205925866998","71590263.05203354"
"2000","Top 0.01%-0.001%","adult_equal_split","0.5469791041666666","78330341.57766901","Infinity","2.639101762857586","4297.274298050401","78330341.57766901"
"2001","Top 0.01%-0.001%","adult_equal_split","0.5593263266666667","73253650.2936008","Infinity","2.3624869322041993","3970.6305602031384","73253650.2936008"
"2002","Top 0.01%-0.001%","adult_equal_split","0.5680085091666668","72004534.09720118","Infinity","2.268355555618312","3859.474464110624","72004534.09720118"
"2003","Top 0.01%-0.001%","adult_equal_split","0.5791860916666667","71828590.05449799","Infinity","2.225015100143752","3808.295399189291","71828590.05449799"
"2004","Top 0.01%-0.001%","adult_equal_split","0.5947583558333333","83560559.69703047","Infinity","2.7089227537081375","4379.72320137837","83560559.69703047"
"2005","Top 0.01%-0.001%","adult_equal_split","0.6134221400000001","92255868.03823446","Infinity","3.047190098937116","4779.170005355837","92255868.03823446"
"2006","Top 0.01%-0.001%","adult_equal_split","0.6323604541666666","103821326.95886944","Infinity","3.502055939603683","5316.303455733059","103821326.95886944"
"2007","Top 0.01%-0.001%","adult_equal_split","0.6494840783333333","107119777.10373147","Infinity","3.5933538341076083","5424.113602600115","107119777.10373147"
"2008","Top 0.01%-0.001%","adult_equal_split","0.6620513458333332","95332848.14695866","Infinity","3.04195945759282","4772.993343620082","95332848.14695866"
"2009","Top 0.01%-0.001%","adult_equal_split","0.6661056825","81210132.84926732","Infinity","2.40340678364769","4018.951227594993","81210132.84926732"
"2010","Top 0.01%-0.001%","adult_equal_split","0.6741785699999999","88500551.96329726","Infinity","2.6656817142564866","4328.661532987252","88500551.96329726"
"2011","Top 0.01%-0.001%","adult_equal_split","0.6880922216666666","94799958.1142637","Infinity","2.880858446809428","4582.755400813616","94799958.1142637"
"2012","Top 0.01%-0.001%","adult_equal_split","0.7009189958333333","99338849.382437","Infinity","3.02106308938726","4748.317631902189","99338849.382437"
"2013","Top 0.01%-0.001%","adult_equal_split","0.7128318458333333","107744109.73216836","Infinity","3.315506388362028","5096.014317340264","107744109.73216836"
"2014","Top 0.01%-0.001%","adult_equal_split","0.7252373741666668","112400203.16158406","Infinity","3.454897386574119","5260.615747316777","112400203.16158406"
"2015","Top 0.01%-0.001%","adult_equal_split","0.7319920558333335","120468049.0932197","Infinity","3.7272705345606245","5582.250646419568","120468049.0932197"
"2016","Top 0.01%-0.001%","adult_equal_split","0.7389366733333333","131125250.49877036","Infinity","4.09752034028127","6019.464299035896","131125250.49877036"
"2017","Top 0.01%-0.001%","adult_equal_split","0.7521545733333332","139004485.04252806","Infinity","4.3587807341555695","6327.976577300122","139004485.04252806"
"2018","Top 0.01%-0.001%","adult_equal_split","0.7694004483333333","143173147.14304966","Infinity","4.477639612402352","6468.332422195187","143173147.14304966"
"2019","Top 0.01%-0.001%","adult_equal_split","0.78208808","148219056.1096712","Infinity","4.628754026219001","6646.7775795104135","148219056.1096712"
"2020","Top 0.01%-0.001%","adult_equal_split","0.7925247358333332","149768074.4705154","Infinity","4.657171067162408","6680.334162324096","149768074.4705154"
"2021","Top 0.01%-0.001%","adult_equal_split","0.8285885716666668","189496625.42435026","Infinity","6.113841820679555","8400.460225766614","189496625.42435026"
"2022","Top 0.01%-0.001%","adult_equal_split","0.8876788958333334","185817767.31118557","Infinity","5.912352498223718","8162.529290292813","185817767.31118557"
"2023","Top 0.01%-0.001%","adult_equal_split","0.9205459508333332","188355491.7981771","Infinity","5.923285651729356","8175.439827732559","188355491.7981771"
